,Region,628,633
0,Belgium,,50
1,Bulgaria,,679
2,Czechia,,34
3,Denmark,,8
4,Germany,,426
5,Estonia,,NaN
6,Ireland,,28
7,Greece,,191
8,Spain,,40
9,France,,198
10,Croatia,,109
11,Italy,,209
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,77
17,Malta,,NaN
18,Netherlands,,23
19,Austria,,99
20,Poland,,264
21,Portugal,,60
22,Romania,,3039
23,Slovenia,,9
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,4
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,7
