,Region,649,654
0,Belgium,,138
1,Bulgaria,,1060
2,Czechia,,207
3,Denmark,,13
4,Germany,,836
5,Estonia,,NaN
6,Ireland,,87
7,Greece,,367
8,Spain,,24
9,France,,196
10,Croatia,,240
11,Italy,,289
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,274
17,Malta,,NaN
18,Netherlands,,162
19,Austria,,84
20,Poland,,1043
21,Portugal,,19
22,Romania,,3398
23,Slovenia,,19
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,18
