,Region,635,640
0,Belgium,,53
1,Bulgaria,,599
2,Czechia,,68
3,Denmark,,8
4,Germany,,446
5,Estonia,,37
6,Ireland,,22
7,Greece,,280
8,Spain,,29
9,France,,159
10,Croatia,,136
11,Italy,,235
12,Cyprus,,NaN
13,Latvia,,104
14,Lithuania,,251
15,Luxembourg,,NaN
16,Hungary,,55
17,Malta,,NaN
18,Netherlands,,47
19,Austria,,92
20,Poland,,384
21,Portugal,,59
22,Romania,,3021
23,Slovenia,,7
24,Slovakia,,163
25,Finland,,NaN
26,Sweden,,4
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,20
