,Region,425,430
0,Belgium,,110
1,Bulgaria,,876
2,Czechia,,1414
3,Denmark,,9
4,Germany,,1141
5,Estonia,,NaN
6,Ireland,,35
7,Greece,,446
8,Spain,,112
9,France,,1733
10,Croatia,,98
11,Italy,,3178
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1605
17,Malta,,NaN
18,Netherlands,,197
19,Austria,,202
20,Poland,,2523
21,Portugal,,67
22,Romania,,810
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,13
27,United Kingdom,,486
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,42
