,State,488,493,500,507,514,521,528
0,Washington,NaN,4363,3712,3536,3649,3847,4055
1,Illinois,NaN,6064,4873,4605,5040,5569,5844
2,California,NaN,6346,5765,5824,6240,6738,7109
3,Arizona,NaN,2736,2450,2404,2476,2509,2458
4,Massachusetts,NaN,1809,1331,1254,1478,1781,2060
5,Wisconsin,NaN,1560,1289,1262,1373,1501,1583
6,Texas,NaN,8110,7119,7510,8335,9432,10498
7,Nebraska,NaN,136,85,82,110,162,214
8,Utah,NaN,1463,1267,1226,1227,1232,1205
9,Oregon,NaN,2140,1699,1583,1674,1810,1900
10,Florida,NaN,12131,9532,8924,9814,10895,11594
11,New York,NaN,6118,4544,4065,4508,5446,6244
12,Rhode Island,NaN,540,545,556,560,562,570
13,Georgia,NaN,2864,2220,2065,2260,2553,2738
14,New Hampshire,NaN,407,303,269,291,339,388
15,North Carolina,NaN,4438,3692,3334,3273,3258,3309
16,New Jersey,NaN,2797,3196,3523,3542,3476,3348
17,Colorado,NaN,3206,2323,2309,2772,3559,4130
18,Maryland,NaN,1353,994,945,1084,1290,1485
19,Nevada,NaN,1567,1361,1233,1154,1100,1056
20,Tennessee,NaN,2046,1687,1551,1542,1550,1579
21,Hawaii,NaN,451,460,444,433,427,413
22,Indiana,NaN,3256,2756,2725,2905,3037,3115
23,Kentucky,NaN,2216,1940,1833,1803,1775,1716
24,Minnesota,NaN,2329,1547,1385,1661,2219,2715
25,Oklahoma,NaN,480,405,369,352,342,331
26,Pennsylvania,NaN,6532,5060,4825,5422,6226,6893
27,South Carolina,NaN,1531,1296,1355,1549,1830,2042
28,District of Columbia,NaN,99,81,88,111,141,169
29,Kansas,NaN,771,633,504,424,381,352
30,Missouri,NaN,2044,1893,1897,1919,1938,1897
31,Vermont,NaN,157,133,133,147,169,190
32,Virginia,NaN,1646,1238,1194,1422,1705,1936
33,Connecticut,NaN,892,634,538,525,542,587
34,Iowa,NaN,769,586,550,600,682,738
35,Louisiana,NaN,2246,2146,2087,2056,2040,1995
36,Ohio,NaN,4595,3888,3835,4023,4180,4289
37,Michigan,NaN,6021,4588,4263,4777,5566,6206
38,South Dakota,NaN,146,112,100,100,105,112
39,Arkansas,NaN,1030,1011,993,967,945,903
40,Delaware,NaN,408,383,438,553,698,828
41,Mississippi,NaN,1024,1081,1136,1178,1216,1247
42,New Mexico,NaN,913,836,772,725,679,629
43,North Dakota,NaN,246,196,199,230,265,291
44,Wyoming,NaN,359,366,376,388,403,420
45,Alaska,NaN,305,254,236,232,240,249
46,Maine,NaN,863,710,679,738,823,880
47,Alabama,NaN,1532,1461,1497,1499,1535,1560
48,Idaho,NaN,806,814,830,838,857,870
49,Montana,NaN,372,299,277,269,270,271
50,Puerto Rico,NaN,573,304,308,424,596,762
51,Virgin Islands,NaN,47,50,51,51,50,51
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,1025,1066,1033,1059,1111,1131
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
