,State,586,591,598,605,612,619,626
0,Washington,NaN,24412,26992,26449,23258,19699,17681
1,Illinois,NaN,19976,21750,23255,24723,26063,27299
2,California,NaN,74866,75571,75711,75014,73391,70674
3,Arizona,NaN,16288,20423,20579,20142,19321,18305
4,Massachusetts,NaN,6939,7418,7688,7854,7866,7806
5,Wisconsin,NaN,11994,14598,15892,15635,15106,15087
6,Texas,NaN,68404,64236,67483,72539,79834,86346
7,Nebraska,NaN,5241,5901,5294,4120,3312,2865
8,Utah,NaN,4949,5749,6439,7024,7488,7996
9,Oregon,NaN,13272,12988,12100,11252,10642,10185
10,Florida,NaN,150754,150779,150733,150752,150712,150731
11,New York,NaN,32861,32980,32829,31615,29865,27965
12,Rhode Island,NaN,1497,1515,1512,1516,1501,1491
13,Georgia,NaN,52272,58462,60728,59462,56422,53841
14,New Hampshire,NaN,2072,2228,1988,1708,1491,1319
15,North Carolina,NaN,63994,73779,69424,61041,54518,50400
16,New Jersey,NaN,13239,13553,13392,12738,11988,11222
17,Colorado,NaN,8146,9124,9774,10104,10072,10055
18,Maryland,NaN,7897,8419,8464,8081,7468,6903
19,Nevada,NaN,5911,6240,6546,6818,7039,7216
20,Tennessee,NaN,25479,27013,28096,29318,30251,31056
21,Hawaii,NaN,6206,5449,5424,5332,5288,5228
22,Indiana,NaN,25540,31799,34534,32601,29319,26674
23,Kentucky,NaN,19710,20680,21404,21965,22486,22808
24,Minnesota,NaN,8115,8570,8570,8196,7777,7379
25,Oklahoma,NaN,13042,14625,15467,16014,15929,15903
26,Pennsylvania,NaN,24100,28237,29345,28001,25940,23731
27,South Carolina,NaN,16134,23414,28178,32640,36323,39235
28,District of Columbia,NaN,935,970,983,994,998,992
29,Kansas,NaN,2364,2870,3224,3509,3738,3857
30,Missouri,NaN,11384,11033,10979,10925,10799,10574
31,Vermont,NaN,1948,1706,1149,859,721,631
32,Virginia,NaN,20104,24524,26439,25651,23625,21885
33,Connecticut,NaN,4284,4619,4746,4725,4630,4595
34,Iowa,NaN,4877,4871,4880,4870,4878,4888
35,Louisiana,NaN,19723,18993,18624,18726,18977,19198
36,Ohio,NaN,34294,38935,38890,36866,34302,31632
37,Michigan,NaN,8058,8262,8049,8024,8023,8204
38,South Dakota,NaN,1957,1996,1829,1584,1390,1267
39,Arkansas,NaN,9632,9802,9951,10209,10336,10287
40,Delaware,NaN,2040,2136,2249,2296,2292,2265
41,Mississippi,NaN,16984,18415,18916,18950,18812,18658
42,New Mexico,NaN,5199,5371,5301,5141,4972,4821
43,North Dakota,NaN,2217,2623,2664,2525,2342,2185
44,Wyoming,NaN,2543,2947,3084,2939,2756,2541
45,Alaska,NaN,2637,2615,2493,2363,2239,2146
46,Maine,NaN,1380,1515,1520,1426,1317,1238
47,Alabama,NaN,29304,32071,33291,33181,32591,31706
48,Idaho,NaN,3816,3847,3912,3912,3944,3988
49,Montana,NaN,3098,3650,3874,3706,3427,3238
50,Puerto Rico,NaN,4109,3998,4196,4457,4728,4932
51,Virgin Islands,NaN,89,72,64,63,64,66
52,Guam,NaN,1797,2230,1604,1027,846,764
53,West Virginia,NaN,6634,7120,7825,8454,8936,9300
54,Northern Mariana Islands,NaN,0,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
