,State,481,486,493,500,507,514,521
0,Washington,NaN,6958,6371,6018,5783,5557,5318
1,Illinois,NaN,7206,5712,5623,6510,7274,7740
2,California,NaN,7788,7775,8354,9212,10125,10864
3,Arizona,NaN,3419,3110,3000,2936,2859,2734
4,Massachusetts,NaN,2909,2242,2198,2523,2968,3320
5,Wisconsin,NaN,2054,1685,1642,1773,1899,1986
6,Texas,NaN,8490,7473,7662,8402,9202,9902
7,Nebraska,NaN,215,146,165,250,357,463
8,Utah,NaN,1697,1545,1522,1514,1485,1425
9,Oregon,NaN,3262,2730,2573,2633,2725,2752
10,Florida,NaN,14802,11378,10384,11079,12297,13036
11,New York,NaN,8769,6541,6161,7093,8651,10043
12,Rhode Island,NaN,679,524,446,415,401,403
13,Georgia,NaN,3805,2962,2712,2816,3058,3162
14,New Hampshire,NaN,648,490,459,518,610,681
15,North Carolina,NaN,6272,5645,5356,5334,5409,5459
16,New Jersey,NaN,838,229,197,518,1191,1849
17,Colorado,NaN,6604,6347,6270,6296,6272,6166
18,Maryland,NaN,1859,1252,1071,1174,1433,1652
19,Nevada,NaN,2017,2008,2014,2035,2051,2066
20,Tennessee,NaN,2404,2055,1917,1930,1955,1988
21,Hawaii,NaN,473,412,426,459,500,532
22,Indiana,NaN,4662,4077,3805,3637,3493,3304
23,Kentucky,NaN,2678,2439,2328,2249,2171,2080
24,Minnesota,NaN,4200,3194,2949,3282,3860,4213
25,Oklahoma,NaN,694,629,601,603,622,640
26,Pennsylvania,NaN,8047,6500,6342,7132,8177,8991
27,South Carolina,NaN,2406,2236,2474,2837,3227,3552
28,District of Columbia,NaN,140,145,169,209,250,283
29,Kansas,NaN,684,524,426,359,319,312
30,Missouri,NaN,2154,1827,1735,1729,1744,1744
31,Vermont,NaN,242,225,237,272,312,352
32,Virginia,NaN,2179,1575,1364,1503,1803,2027
33,Connecticut,NaN,1726,1372,1226,1188,1221,1285
34,Iowa,NaN,988,718,660,738,880,998
35,Louisiana,NaN,2374,2330,2323,2303,2290,2281
36,Ohio,NaN,5246,4465,4348,4463,4742,4843
37,Michigan,NaN,9335,7117,6400,6918,7793,8534
38,South Dakota,NaN,236,195,179,180,186,199
39,Arkansas,NaN,1040,944,886,821,753,694
40,Delaware,NaN,574,442,413,461,531,589
41,Mississippi,NaN,936,980,1030,1072,1117,1152
42,New Mexico,NaN,1013,986,959,939,917,892
43,North Dakota,NaN,386,321,318,333,351,365
44,Wyoming,NaN,380,386,392,398,403,410
45,Alaska,NaN,439,374,340,330,325,333
46,Maine,NaN,1702,1688,1708,1747,1811,1846
47,Alabama,NaN,1877,2204,2663,3129,3467,3808
48,Idaho,NaN,820,769,732,709,695,677
49,Montana,NaN,516,464,446,436,438,434
50,Puerto Rico,NaN,854,460,422,564,799,1057
51,Virgin Islands,NaN,51,53,54,53,54,53
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,1708,1615,1561,1525,1495,1465
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
