,State,579,584,591,598,605,612,619
0,Washington,NaN,28624,32206,29708,24112,20079,17365
1,Illinois,NaN,19203,21272,22121,21769,21170,20402
2,California,NaN,89686,97822,101302,101103,98757,95841
3,Arizona,NaN,22821,21716,22765,22905,22183,21204
4,Massachusetts,NaN,7535,7999,7937,7621,7206,6752
5,Wisconsin,NaN,7723,7774,7792,7715,7664,7512
6,Texas,NaN,105880,112441,112330,108543,104446,100373
7,Nebraska,NaN,2574,3107,3324,3280,3108,2971
8,Utah,NaN,4890,5378,5667,5849,5930,6039
9,Oregon,NaN,12423,14452,14601,13080,11172,9941
10,Florida,NaN,134811,134746,134770,134699,134719,134713
11,New York,NaN,29777,31772,32650,32452,31840,31191
12,Rhode Island,NaN,1444,1501,1554,1579,1593,1601
13,Georgia,NaN,35161,37879,38172,37485,36056,34885
14,New Hampshire,NaN,1899,2365,2474,2260,1991,1798
15,North Carolina,NaN,28441,29329,29943,30716,31065,31631
16,New Jersey,NaN,11954,13262,13840,13614,13008,12161
17,Colorado,NaN,7361,8158,8573,8686,8563,8469
18,Maryland,NaN,6915,7204,7352,7385,7432,7518
19,Nevada,NaN,5589,5731,5865,5941,5951,5958
20,Tennessee,NaN,27696,32138,34471,34365,32792,31502
21,Hawaii,NaN,4994,4967,4845,4770,4716,4643
22,Indiana,NaN,22832,28788,30072,26827,23667,21603
23,Kentucky,NaN,22790,27414,27092,22765,19906,17876
24,Minnesota,NaN,7024,7590,7329,6739,6113,5703
25,Oklahoma,NaN,10540,11232,11546,11545,11500,11317
26,Pennsylvania,NaN,16583,18475,18620,18148,17481,16888
27,South Carolina,NaN,17773,20703,22901,24081,25083,25509
28,District of Columbia,NaN,907,925,933,934,944,947
29,Kansas,NaN,5542,5735,5290,4606,3956,3487
30,Missouri,NaN,12592,11519,11401,11518,11400,11076
31,Vermont,NaN,1456,1597,1293,924,761,679
32,Virginia,NaN,15275,16295,15426,14318,13244,12248
33,Connecticut,NaN,3176,3215,3221,3233,3215,3178
34,Iowa,NaN,1396,1395,1395,1395,1395,1396
35,Louisiana,NaN,27259,28257,28568,28601,28419,28100
36,Ohio,NaN,23720,26354,25442,23834,22021,20294
37,Michigan,NaN,5358,5461,5447,5362,5427,5440
38,South Dakota,NaN,413,414,411,414,415,417
39,Arkansas,NaN,10859,10781,10965,11179,11160,11118
40,Delaware,NaN,2357,2680,2565,2369,2175,2021
41,Mississippi,NaN,31078,38988,39765,33588,28282,25363
42,New Mexico,NaN,5749,6852,6895,6173,5491,4919
43,North Dakota,NaN,1552,1926,1976,1827,1639,1465
44,Wyoming,NaN,2111,2456,2561,2438,2265,2142
45,Alaska,NaN,2803,2724,2462,2156,1927,1788
46,Maine,NaN,1194,1257,1171,1016,885,799
47,Alabama,NaN,23360,25696,26497,26533,26279,25767
48,Idaho,NaN,4323,4419,4128,3831,3565,3324
49,Montana,NaN,2388,2643,2532,2252,2002,1798
50,Puerto Rico,NaN,7660,7793,7366,7101,6841,6634
51,Virgin Islands,NaN,237,230,222,216,214,214
52,Guam,NaN,1677,1374,898,659,596,558
53,West Virginia,NaN,5244,6769,7156,6327,5555,5039
54,Northern Mariana Islands,NaN,0,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
