,Region,418,423,430,437,444
0,Belgium,,181,183,189,199
1,Bulgaria,,838,1241,1608,1981
2,Czechia,,1660,1850,2049,2151
3,Denmark,,11,13,14,17
4,Germany,,1198,1063,993,1003
5,Estonia,,70,73,72,69
6,Ireland,,120,132,137,128
7,Greece,,402,482,552,553
8,Spain,,951,718,543,373
9,France,,1753,1682,1671,1600
10,Croatia,,106,123,139,166
11,Italy,,2857,3229,3753,4588
12,Cyprus,,10,12,35,106
13,Latvia,,64,54,47,39
14,Lithuania,,60,50,35,27
15,Luxembourg,,32,34,34,29
16,Hungary,,1141,1290,1517,1836
17,Malta,,23,26,23,21
18,Netherlands,,244,248,252,258
19,Austria,,166,171,182,204
20,Poland,,2037,2168,2343,2534
21,Portugal,,106,70,42,24
22,Romania,,597,601,607,611
23,Slovenia,,30,22,15,12
24,Slovakia,,713,701,686,624
25,Finland,,18,15,13,13
26,Sweden,,118,96,74,60
27,United Kingdom,,696,511,426,330
28,Iceland,,1,4,4,7
29,Liechtenstein,,1,1,1,1
30,Norway,,6,6,7,7
31,Switzerland,,63,60,63,66
