,Region,467,472,479,486,493
0,Belgium,,264,254,241,216
1,Bulgaria,,NaN,NaN,NaN,NaN
2,Czechia,,328,277,246,231
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,1654,1577,1452,1272
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,42,44,45,44
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,625,612,594,584
9,France,,1864,1732,1588,1444
10,Croatia,,303,282,258,235
11,Italy,,1884,1736,1620,1526
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,874,633,482,417
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,149,142,133,117
19,Austria,,152,133,117,102
20,Poland,,1799,1243,908,749
21,Portugal,,20,17,15,14
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,240,182,148,123
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,122,114,108,97
27,United Kingdom,,105,95,84,78
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
