,State,425,430,437,444,451,458,465
0,Washington,NaN,55,50,44,41,39,37
1,Illinois,NaN,147,114,101,92,86,82
2,California,NaN,768,602,473,383,349,352
3,Arizona,NaN,138,95,66,45,37,41
4,Massachusetts,NaN,206,203,206,210,211,209
5,Wisconsin,NaN,57,53,50,48,48,47
6,Texas,NaN,813,711,574,501,453,454
7,Nebraska,NaN,22,22,22,22,22,22
8,Utah,NaN,19,15,13,11,10,11
9,Oregon,NaN,35,34,35,36,37,39
10,Florida,NaN,377,299,243,210,189,176
11,New York,NaN,360,312,258,219,191,175
12,Rhode Island,NaN,26,27,26,27,26,26
13,Georgia,NaN,191,147,111,93,84,78
14,New Hampshire,NaN,15,16,15,15,16,15
15,North Carolina,NaN,100,81,66,58,55,55
16,New Jersey,NaN,306,277,277,280,279,275
17,Colorado,NaN,45,44,45,45,45,45
18,Maryland,NaN,100,100,101,101,100,98
19,Nevada,NaN,57,51,49,50,52,56
20,Tennessee,NaN,21,15,14,12,10,10
21,Hawaii,NaN,6,6,6,6,6,6
22,Indiana,NaN,85,63,56,51,47,44
23,Kentucky,NaN,181,174,178,193,221,259
24,Minnesota,NaN,42,40,38,37,35,34
25,Oklahoma,NaN,140,104,83,72,68,74
26,Pennsylvania,NaN,244,260,275,292,307,324
27,South Carolina,NaN,92,64,56,53,51,51
28,District of Columbia,NaN,12,13,13,13,13,13
29,Kansas,NaN,20,16,13,11,10,9
30,Missouri,NaN,61,52,49,47,46,46
31,Vermont,NaN,5,5,5,5,5,5
32,Virginia,NaN,106,71,48,35,29,28
33,Connecticut,NaN,67,66,65,65,65,66
34,Iowa,NaN,31,25,20,17,15,14
35,Louisiana,NaN,84,92,83,79,77,81
36,Ohio,NaN,55,47,42,42,41,40
37,Michigan,NaN,142,150,148,136,119,101
38,South Dakota,NaN,13,14,14,14,14,14
39,Arkansas,NaN,85,92,86,83,84,92
40,Delaware,NaN,38,40,40,40,40,40
41,Mississippi,NaN,49,45,38,33,30,31
42,New Mexico,NaN,16,12,8,7,7,7
43,North Dakota,NaN,6,6,6,6,6,6
44,Wyoming,NaN,8,8,8,8,8,8
45,Alaska,NaN,4,4,4,4,4,4
46,Maine,NaN,17,18,17,17,17,18
47,Alabama,NaN,75,54,40,32,29,28
48,Idaho,NaN,28,28,28,28,28,28
49,Montana,NaN,16,17,17,17,17,17
50,Puerto Rico,NaN,26,28,28,28,28,28
51,Virgin Islands,NaN,0,0,0,0,0,0
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,67,83,95,107,114,119
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
