,Region,830,836,843,850,857,864
0,Belgium,,45933,57599,81235,123469,187384
1,Bulgaria,,3396,3093,2858,2684,2560
2,Czechia,,9608,9070,9157,9930,11632
3,Denmark,,12340,18639,32981,66704,142880
4,Germany,,555018,538744,574553,678915,868741
5,Estonia,,2041,1918,1925,2084,2439
6,Ireland,,8416,9349,11761,16609,25687
7,Greece,,40583,39285,42112,49998,64733
8,Spain,,81549,104053,170148,228181,298972
9,France,,424409,471511,618041,877244,1170000
10,Croatia,,1263,306,108,53,34
11,Italy,,425027,509619,651107,799506,927848
12,Cyprus,,6831,6246,6172,6744,7980
13,Latvia,,4378,4870,5987,8188,12309
14,Lithuania,,3901,3641,3634,3894,4497
15,Luxembourg,,NaN,NaN,NaN,NaN,NaN
16,Hungary,,10613,11196,12328,14134,16819
17,Malta,,982,922,1047,1421,2186
18,Netherlands,,16153,21885,38819,87671,211346
19,Austria,,43816,55006,81688,135228,221619
20,Poland,,4736,4050,3577,3267,3079
21,Portugal,,77115,93155,118525,156021,206221
22,Romania,,4950,4018,3291,2724,2273
23,Slovenia,,94975,106594,21797,32145,53642
24,Slovakia,,8417,7345,6756,6564,6745
25,Finland,,28293,27797,29663,34087,41434
26,Sweden,,1303,746,464,317,237
27,United Kingdom,,126430,132818,153535,194050,264987
28,Iceland,,1440,5219,19353,37133,22475
29,Liechtenstein,,94,100,123,175,278
30,Norway,,3772,5603,10121,21712,50496
31,Switzerland,,25710,32963,50814,85749,126158
