,Region,711,717,724,731,738,745
0,Belgium,,109469,162006,229274,268826,227557
1,Bulgaria,,19159,24088,30510,38293,47435
2,Czechia,,43326,51529,60207,66494,68694
3,Denmark,,187146,198765,181486,143070,101664
4,Germany,,213694,282022,402149,577343,806788
5,Estonia,,7832,9671,11981,14621,17403
6,Ireland,,126997,106685,77690,51483,32595
7,Greece,,314923,410385,354832,205280,89477
8,Spain,,1228070,1888460,2248180,1878400,1121680
9,France,,2285230,3220450,3263070,2157690,971597
10,Croatia,,34747,41382,48908,56265,62440
11,Italy,,1982340,3894200,4586210,2731310,928187
12,Cyprus,,51167,73532,62842,32140,12040
13,Latvia,,5958,6386,6888,7532,8336
14,Lithuania,,15064,18951,23163,26834,29316
15,Luxembourg,,3067,4177,5994,7772,8391
16,Hungary,,13275,10237,7760,6013,4768
17,Malta,,10748,10396,7827,4882,2833
18,Netherlands,,132901,179874,245595,315215,366092
19,Austria,,14953,16076,23981,41715,72812
20,Poland,,66498,76735,117820,212819,392141
21,Portugal,,367413,686170,847850,548643,191208
22,Romania,,15528,31849,73324,173264,395439
23,Slovenia,,17759,30076,51852,74640,74208
24,Slovakia,,28454,37107,52361,71552,87727
25,Finland,,48182,69273,98466,130093,148399
26,Sweden,,67527,101225,147637,202486,254931
27,United Kingdom,,1806610,2190310,2260500,1956200,1457000
28,Iceland,,8854,10034,8368,5393,3044
29,Liechtenstein,,196,143,100,72,52
30,Norway,,20088,16330,12971,10302,8220
31,Switzerland,,200611,297030,364402,347339,260237
