,Region,781,787,794,801,808,815
0,Belgium,,40130,40576,51570,77394,120797
1,Bulgaria,,9603,8386,7373,6596,6001
2,Czechia,,53548,56089,61176,68438,77639
3,Denmark,,5434,8325,10865,19459,43281
4,Germany,,1092370,902756,712298,564782,457825
5,Estonia,,10552,7238,4884,3380,2407
6,Ireland,,25485,25764,25573,25171,24152
7,Greece,,105346,87782,70738,57646,48093
8,Spain,,77968,40138,26414,20505,20004
9,France,,355872,380835,438660,516554,588750
10,Croatia,,7563,8654,10537,13565,18066
11,Italy,,533366,635386,519523,470918,529360
12,Cyprus,,20114,19277,17012,14091,11250
13,Latvia,,30469,22339,15850,11325,8226
14,Lithuania,,27570,25706,23818,22126,20589
15,Luxembourg,,0,1,0,0,0
16,Hungary,,9711,5821,2698,1104,467
17,Malta,,1279,1949,3147,4846,6384
18,Netherlands,,423444,350476,276031,220367,182193
19,Austria,,165181,115098,92196,81436,74776
20,Poland,,72858,73369,77691,85922,98522
21,Portugal,,20794,12317,8308,6701,7552
22,Romania,,18547,14171,10803,8391,6616
23,Slovenia,,17155,24503,37630,53270,62310
24,Slovakia,,71821,67321,63394,59849,56397
25,Finland,,105446,147375,160880,133055,94234
26,Sweden,,4114,1745,696,297,141
27,United Kingdom,,413125,610256,762712,692173,519236
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,902,606,376,240,166
30,Norway,,26700,18451,14546,13821,15967
31,Switzerland,,201794,193948,162086,121514,86705
