,Region,704,710,717,724,731,738
0,Belgium,,25353,18770,14376,11166,8456
1,Bulgaria,,8453,7427,6388,5466,4686
2,Czechia,,75516,124416,193881,257387,280043
3,Denmark,,21955,15065,10385,7311,5251
4,Germany,,131731,112922,109733,114570,122431
5,Estonia,,5078,5654,6325,7057,7839
6,Ireland,,70156,75036,71091,59127,45530
7,Greece,,37201,31525,24316,17783,12846
8,Spain,,498671,776792,1045120,1157360,1048240
9,France,,1047270,2044140,3430930,3911030,2752530
10,Croatia,,16232,13264,10351,7858,5841
11,Italy,,779739,2018430,4035300,4568360,2680820
12,Cyprus,,5508,5544,5329,4868,4214
13,Latvia,,3772,3184,2619,2135,1742
14,Lithuania,,8010,6631,5329,4189,3218
15,Luxembourg,,2111,2270,2284,2474,2856
16,Hungary,,10879,6999,4405,2820,1840
17,Malta,,11062,17549,18001,11217,4878
18,Netherlands,,103680,120362,133400,135728,126702
19,Austria,,12546,12588,13739,15620,18202
20,Poland,,140838,366902,1130120,2479020,2979220
21,Portugal,,115253,232737,446942,642030,579991
22,Romania,,4387,4789,5906,7951,11298
23,Slovenia,,5949,4659,3377,2241,1418
24,Slovakia,,17179,10681,5853,2818,1189
25,Finland,,22988,29060,36172,43932,52534
26,Sweden,,26037,23432,20125,17363,15214
27,United Kingdom,,791598,818978,773655,688815,585937
28,Iceland,,2366,2746,3214,3723,4221
29,Liechtenstein,,136,61,24,10,4
30,Norway,,19642,15196,11337,8473,6395
31,Switzerland,,58960,66903,72636,73190,69102
