,Region,606,612,619,626,633,640
0,Belgium,,14399,14460,14394,14212,13910
1,Bulgaria,,11609,12588,13672,14852,16099
2,Czechia,,3318,3811,4394,5071,5865
3,Denmark,,2010,1517,1138,850,632
4,Germany,,60159,55529,50375,44907,39370
5,Estonia,,3163,3505,3976,4571,5294
6,Ireland,,8415,7824,7151,6437,5699
7,Greece,,16050,15434,14752,13955,13012
8,Spain,,16753,12276,8902,6402,4565
9,France,,44260,33814,25231,18436,13179
10,Croatia,,10216,13590,18399,24915,33353
11,Italy,,26615,22503,18652,15164,12092
12,Cyprus,,258,141,77,42,22
13,Latvia,,3823,4332,4800,5179,5450
14,Lithuania,,8819,11033,14318,19207,26341
15,Luxembourg,,249,139,60,24,8
16,Hungary,,2982,3771,4793,6105,7798
17,Malta,,203,165,130,101,76
18,Netherlands,,13862,12499,11217,10014,8900
19,Austria,,15017,15759,16295,16573,16598
20,Poland,,5142,6393,7937,9812,12094
21,Portugal,,5365,4156,3194,2441,1854
22,Romania,,36344,55296,83933,125797,184449
23,Slovenia,,8359,9455,10440,11166,11644
24,Slovakia,,4963,6655,8893,11745,15365
25,Finland,,3479,3403,3303,3181,3033
26,Sweden,,6602,6054,5406,4697,3973
27,United Kingdom,,184652,160876,138611,118017,99518
28,Iceland,,135,126,128,134,140
29,Liechtenstein,,22,14,9,6,4
30,Norway,,5020,3690,2607,1766,1151
31,Switzerland,,12886,10226,7887,5900,4303
