,Region,809,815,822,829,836,843
0,Belgium,,64130,110798,228851,323251,428903
1,Bulgaria,,3562,2686,2061,1612,1286
2,Czechia,,26641,23846,23676,26242,32375
3,Denmark,,21829,33832,58888,117404,252539
4,Germany,,480299,374111,339321,401614,618254
5,Estonia,,4880,5034,6217,9140,14592
6,Ireland,,15108,12346,12636,15935,23776
7,Greece,,49537,34221,31952,39348,60497
8,Spain,,1643,1107,1358,2889,10718
9,France,,585924,538725,686961,1079270,1683640
10,Croatia,,1333,1664,1207,1367,2036
11,Italy,,299309,307302,408394,577594,722521
12,Cyprus,,13416,9722,7730,6868,6896
13,Latvia,,4632,3846,4099,5921,10291
14,Lithuania,,8789,7652,7685,9050,11776
15,Luxembourg,,5552,4527,3691,3030,2519
16,Hungary,,13905,14640,16253,18984,23235
17,Malta,,5544,7376,10256,13411,15171
18,Netherlands,,39419,21981,9322,3765,1218
19,Austria,,65834,56526,65651,92965,109926
20,Poland,,5280,3015,1805,1134,748
21,Portugal,,87460,162170,274273,389044,436838
22,Romania,,10637,8516,6947,5767,4847
23,Slovenia,,12441,12016,12620,14360,17547
24,Slovakia,,24790,19969,17116,15709,15474
25,Finland,,21748,17493,17426,21752,29993
26,Sweden,,1786,1233,1320,2498,9825
27,United Kingdom,,251448,218837,232876,299198,448611
28,Iceland,,2205,4826,14164,32137,29741
29,Liechtenstein,,232,260,391,630,799
30,Norway,,8759,17336,55587,144359,144163
31,Switzerland,,15379,23699,60672,90160,80888
