,Region,697,703,710,717,724,731
0,Belgium,,47651,30420,20580,14919,11225
1,Bulgaria,,10345,11754,15511,22770,34977
2,Czechia,,95940,155382,215196,195532,122484
3,Denmark,,99325,144055,125363,64429,25038
4,Germany,,180205,105736,69626,60710,67930
5,Estonia,,3399,3105,2872,2722,2669
6,Ireland,,28097,29298,29210,22183,12718
7,Greece,,46071,90934,215619,361869,314658
8,Spain,,242834,529756,552662,420162,361603
9,France,,398929,486805,618458,703286,657352
10,Croatia,,0,0,0,0,0
11,Italy,,166147,213799,373355,764160,1311140
12,Cyprus,,3815,3250,2612,2017,1521
13,Latvia,,4257,3347,2461,1711,1136
14,Lithuania,,35122,81329,114685,83982,39921
15,Luxembourg,,4481,7571,6476,3655,2218
16,Hungary,,21516,10848,4841,2016,815
17,Malta,,1291,1540,1776,1957,2041
18,Netherlands,,151913,272962,397157,347340,226743
19,Austria,,15160,15728,24829,44111,76185
20,Poland,,180567,505247,1519410,2324560,1448670
21,Portugal,,37851,56502,82289,85657,58588
22,Romania,,4698,3732,3235,3083,3200
23,Slovenia,,6439,5343,5383,6165,7057
24,Slovakia,,95471,65501,37354,32032,33107
25,Finland,,0,0,0,0,0
26,Sweden,,37053,74965,126789,133449,91572
27,United Kingdom,,1182210,1538570,1130650,604353,299346
28,Iceland,,536,249,110,47,21
29,Liechtenstein,,538,575,308,130,58
30,Norway,,29765,26620,23351,19268,14472
31,Switzerland,,66071,69202,69535,60791,44415
