,Region,585,591,598,605,612,619
0,Belgium,,14344,14386,14285,14030,13639
1,Bulgaria,,12855,16079,20211,24947,30551
2,Czechia,,1371,1396,1426,1460,1501
3,Denmark,,6433,6118,5727,5271,4774
4,Germany,,76497,92492,109736,127210,144285
5,Estonia,,2465,2625,2729,2773,2751
6,Ireland,,12247,11427,10250,8850,7362
7,Greece,,24945,28264,33189,39590,47448
8,Spain,,49059,38143,29307,22323,16844
9,France,,114975,95653,76761,59407,44374
10,Croatia,,3991,4695,5478,6314,7201
11,Italy,,46307,47603,49521,52222,55667
12,Cyprus,,1567,1224,939,711,530
13,Latvia,,1359,1568,1775,1966,2133
14,Lithuania,,3898,3662,3310,2873,2395
15,Luxembourg,,616,723,838,956,1073
16,Hungary,,1242,1765,2501,3549,5022
17,Malta,,262,205,157,118,88
18,Netherlands,,18982,18893,18609,18178,17574
19,Austria,,10487,12178,14142,16352,18855
20,Poland,,1639,1788,1947,2113,2285
21,Portugal,,15103,13898,12355,10619,8814
22,Romania,,7140,9640,13118,17893,24509
23,Slovenia,,3648,4586,5683,6907,8236
24,Slovakia,,807,978,1196,1472,1820
25,Finland,,3552,3092,2614,2114,1639
26,Sweden,,6998,6930,6568,5920,5066
27,United Kingdom,,244510,247272,244809,237316,225218
28,Iceland,,349,179,73,23,5
29,Liechtenstein,,32,23,16,10,6
30,Norway,,11544,17511,26802,40947,61739
31,Switzerland,,18947,19383,19298,18607,17454
