,Region,571,577,584,591,598,605
0,Belgium,,22864,47737,104190,219293,430105
1,Bulgaria,,7010,9925,13945,19272,26216
2,Czechia,,1391,1431,1449,1447,1423
3,Denmark,,7131,7045,6704,6151,5434
4,Germany,,38485,50744,67885,89838,117597
5,Estonia,,2058,2246,2345,2330,2210
6,Ireland,,13155,13573,13250,12247,10702
7,Greece,,24284,25629,26459,26743,26423
8,Spain,,138342,193923,303899,476119,738388
9,France,,113698,100647,85050,67484,50043
10,Croatia,,2330,2995,3850,4962,6386
11,Italy,,52404,68834,96941,139117,196082
12,Cyprus,,2548,1975,1494,1107,803
13,Latvia,,844,1037,1267,1531,1833
14,Lithuania,,3950,4130,4075,3778,3294
15,Luxembourg,,290,246,206,172,141
16,Hungary,,496,531,553,559,550
17,Malta,,367,303,244,196,155
18,Netherlands,,14456,11594,9171,7187,5566
19,Austria,,6521,8266,10391,12974,16040
20,Poland,,1333,1478,1630,1784,1940
21,Portugal,,14302,12099,9734,7470,5457
22,Romania,,4107,8082,18099,39535,95706
23,Slovenia,,1684,2225,2910,3761,4793
24,Slovakia,,493,548,604,658,711
25,Finland,,7029,8299,9551,10741,11795
26,Sweden,,6147,6519,6565,6260,5649
27,United Kingdom,,475537,1287430,3188100,5348470,5112780
28,Iceland,,684,626,556,479,401
29,Liechtenstein,,79,141,244,411,653
30,Norway,,3986,4334,4498,4444,4178
31,Switzerland,,20485,39583,75637,134727,217324
