,Region,473,479,486,493,500,507
0,Belgium,,20340,18967,18392,16970,16180
1,Bulgaria,,3893,2657,1814,1237,844
2,Czechia,,10648,8907,7347,6084,5029
3,Denmark,,7114,8556,10243,12197,14426
4,Germany,,102237,88357,76205,65580,56321
5,Estonia,,2382,2295,2176,2069,1960
6,Ireland,,2786,2505,2245,2008,1795
7,Greece,,12642,11490,10298,9251,8297
8,Spain,,39736,35592,31989,28724,25750
9,France,,116640,95697,78657,64060,52428
10,Croatia,,9466,8056,6770,5696,4786
11,Italy,,66102,58989,52125,46099,40836
12,Cyprus,,2826,2291,1847,1482,1186
13,Latvia,,4284,4177,4052,3908,3747
14,Lithuania,,8744,9019,9207,9361,9465
15,Luxembourg,,721,531,390,287,210
16,Hungary,,8277,6250,4661,3494,2612
17,Malta,,105,80,60,47,35
18,Netherlands,,48850,46548,44049,41564,39051
19,Austria,,8918,7206,5810,4676,3758
20,Poland,,28065,21120,15877,11924,8950
21,Portugal,,2297,2023,1778,1565,1375
22,Romania,,7687,6039,4739,3718,2915
23,Slovenia,,4968,4973,4948,4892,4811
24,Slovakia,,2489,2118,1784,1506,1271
25,Finland,,1495,1470,1443,1416,1388
26,Sweden,,30102,26242,22795,19685,16901
27,United Kingdom,,13939,13153,12360,11608,10910
28,Iceland,,20,9,5,2,1
29,Liechtenstein,,29,19,13,9,5
30,Norway,,2769,2701,2633,2566,2495
31,Switzerland,,7994,5926,4392,3252,2405
