,Region,515,521,528,535,542,549
0,Belgium,,2516,1507,825,444,224
1,Bulgaria,,611,497,400,319,254
2,Czechia,,768,501,314,194,117
3,Denmark,,1629,1098,762,547,405
4,Germany,,6046,3741,2218,1299,753
5,Estonia,,268,202,146,103,70
6,Ireland,,2130,1861,1501,1117,763
7,Greece,,2852,1896,1221,769,471
8,Spain,,19226,12669,7851,4554,2465
9,France,,14670,9407,5828,3522,2058
10,Croatia,,517,357,236,157,103
11,Italy,,7439,4920,2959,1612,792
12,Cyprus,,401,371,330,283,231
13,Latvia,,705,516,367,261,185
14,Lithuania,,582,365,213,128,74
15,Luxembourg,,69,33,15,5,3
16,Hungary,,460,301,195,130,87
17,Malta,,5,3,1,1,0
18,Netherlands,,4936,3194,1872,1088,596
19,Austria,,884,590,381,240,146
20,Poland,,1171,756,471,283,164
21,Portugal,,7917,9272,10304,10887,10918
22,Romania,,481,341,242,171,119
23,Slovenia,,499,305,182,104,59
24,Slovakia,,259,160,98,59,34
25,Finland,,440,323,216,133,73
26,Sweden,,829,263,81,24,6
27,United Kingdom,,66673,72423,74684,73011,67600
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,1,1,0,0,0
30,Norway,,1045,825,614,430,283
31,Switzerland,,1121,689,405,230,130
