,Region,438,444,451,458,465,472
0,Belgium,,29342,27297,24637,22324,20137
1,Bulgaria,,22876,20776,18730,16768,14915
2,Czechia,,35522,28787,22835,18233,14552
3,Denmark,,5481,5750,6076,6444,6768
4,Germany,,109956,106104,102204,98161,93978
5,Estonia,,5760,4646,3724,2972,2361
6,Ireland,,3905,3912,3928,3932,3936
7,Greece,,21774,23792,25848,27888,29868
8,Spain,,42490,41783,41084,40309,39453
9,France,,240983,233370,223147,212473,201391
10,Croatia,,15355,19639,24811,30970,38124
11,Italy,,138292,131746,124882,118138,111669
12,Cyprus,,2566,2568,2555,2537,2510
13,Latvia,,3298,3094,2892,2692,2498
14,Lithuania,,6292,7651,8796,10494,12426
15,Luxembourg,,1366,1204,1057,925,806
16,Hungary,,55983,52466,48393,44005,39499
17,Malta,,299,174,101,60,34
18,Netherlands,,55731,56883,57473,57483,56908
19,Austria,,21181,20364,19203,18133,17047
20,Poland,,196165,199452,197818,195417,191314
21,Portugal,,2995,2917,2839,2760,2683
22,Romania,,37869,35967,33979,31949,29904
23,Slovenia,,8027,8545,9007,9392,9685
24,Slovakia,,7364,6451,5595,4864,4221
25,Finland,,3565,3203,2873,2573,2302
26,Sweden,,30664,27579,24740,22056,19540
27,United Kingdom,,28594,26145,23937,21902,20024
28,Iceland,,51,43,37,31,27
29,Liechtenstein,,33,37,42,49,54
30,Norway,,5057,4464,3933,3458,3035
31,Switzerland,,11141,10137,9202,8328,7516
