,Region,760,766,773,780,787,794
0,Belgium,,9554,3109,829,263,90
1,Bulgaria,,23541,18030,13471,10066,7536
2,Czechia,,88836,74379,63668,55679,49228
3,Denmark,,0,0,0,0,0
4,Germany,,959705,751052,554224,403626,300405
5,Estonia,,29835,22241,15226,10168,6741
6,Ireland,,5417,2088,982,594,395
7,Greece,,101673,84698,67874,54638,44418
8,Spain,,148233,110913,85579,67626,52824
9,France,,213342,129795,68256,31510,13551
10,Croatia,,21083,20685,22258,25567,30247
11,Italy,,244040,220416,217352,241194,286103
12,Cyprus,,10029,6194,3076,1345,520
13,Latvia,,54122,39746,26282,16649,10405
14,Lithuania,,38683,31310,25207,20558,16947
15,Luxembourg,,1713,1587,1619,1886,2371
16,Hungary,,35130,25009,17449,12365,8926
17,Malta,,433,306,219,169,139
18,Netherlands,,99257,44025,19803,9933,5514
19,Austria,,110088,69270,42116,26544,17656
20,Poland,,101634,74564,55086,42403,34059
21,Portugal,,13622,6665,2799,1442,700
22,Romania,,86213,74134,66110,61673,59486
23,Slovenia,,18009,12767,9963,8750,8203
24,Slovakia,,114383,88749,66858,51305,40535
25,Finland,,18802,9533,4803,2797,1949
26,Sweden,,4501,569,76,10,1
27,United Kingdom,,208935,159655,133009,121482,118764
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,451,327,222,155,111
30,Norway,,65592,45522,30344,21424,15875
31,Switzerland,,88451,74302,66152,63281,62647
