,Region,739,745,752,759,766,773
0,Belgium,,337913,248754,140165,62875,24661
1,Bulgaria,,63012,61503,57499,51677,44935
2,Czechia,,304611,294157,230840,152469,89219
3,Denmark,,59417,16032,4301,1369,506
4,Germany,,1323010,1376720,1261980,996488,701393
5,Estonia,,55527,61550,56356,42643,27592
6,Ireland,,10392,4143,1522,584,234
7,Greece,,84198,52574,29489,15843,8343
8,Spain,,562979,378644,216744,111776,52890
9,France,,1652590,1049130,565141,277707,122546
10,Croatia,,56809,52284,46083,39291,32644
11,Italy,,633628,363117,179552,83512,37831
12,Cyprus,,8314,5189,3003,1738,1010
13,Latvia,,55918,44968,30056,18000,10313
14,Lithuania,,94370,113276,113620,92493,63166
15,Luxembourg,,14635,12580,9940,7372,5249
16,Hungary,,132846,138870,127059,102668,75223
17,Malta,,578,260,98,38,15
18,Netherlands,,431927,418855,363950,288074,212772
19,Austria,,255177,233454,173575,107562,59832
20,Poland,,538229,743773,911104,947772,840086
21,Portugal,,322445,214957,101303,34627,9649
22,Romania,,281774,399000,529757,627023,649042
23,Slovenia,,115705,107045,79728,50643,29380
24,Slovakia,,188215,271848,289580,216498,122725
25,Finland,,15469,8514,4492,2406,1310
26,Sweden,,220684,79872,21700,5993,1743
27,United Kingdom,,425298,296607,196683,129228,84273
28,Iceland,,1563,686,260,112,54
29,Liechtenstein,,847,674,483,331,223
30,Norway,,154556,141762,119065,91416,66343
31,Switzerland,,224301,189856,143384,102205,70721
