,Region,683,689,696,703,710,717
0,Belgium,,130478,121865,102762,80921,60214
1,Bulgaria,,11611,9502,7705,6198,4951
2,Czechia,,113876,98801,78184,58508,42281
3,Denmark,,30329,27205,23573,20093,16965
4,Germany,,382438,320599,248067,189862,143888
5,Estonia,,2735,2063,1560,1182,899
6,Ireland,,26405,20843,16255,12402,9485
7,Greece,,34703,26325,18448,12195,7795
8,Spain,,89232,107296,122507,132863,137128
9,France,,330893,342908,309463,247869,181156
10,Croatia,,23805,18789,14153,10301,7319
11,Italy,,106938,112968,117460,124724,138426
12,Cyprus,,4670,5591,6285,6452,6882
13,Latvia,,3846,2897,2171,1616,1198
14,Lithuania,,9370,7218,5316,3749,2591
15,Luxembourg,,3165,3452,3339,2850,2166
16,Hungary,,58589,46715,33119,21246,12629
17,Malta,,842,981,1092,1153,1151
18,Netherlands,,170046,160149,154151,134165,107205
19,Austria,,39830,21118,9728,4211,1808
20,Poland,,164205,157965,142157,119519,94187
21,Portugal,,29616,37455,46599,56377,65275
22,Romania,,6416,3926,2377,1433,863
23,Slovenia,,9652,6538,4299,2802,1822
24,Slovakia,,72508,61283,47031,33195,21819
25,Finland,,9968,11850,16342,21202,27744
26,Sweden,,13387,13317,12146,10388,8677
27,United Kingdom,,208678,127043,72930,40763,22501
28,Iceland,,608,363,206,118,68
29,Liechtenstein,,469,485,428,331,220
30,Norway,,24940,24239,21257,17482,14005
31,Switzerland,,60928,56775,44447,29494,17133
