,Region,592,598,605,612,619,626
0,Belgium,,14037,13875,13634,13322,12957
1,Bulgaria,,12216,14233,16943,20213,24064
2,Czechia,,1800,2065,2401,2827,3356
3,Denmark,,4370,3638,2988,2419,1933
4,Germany,,93887,108338,122739,135984,147536
5,Estonia,,3595,3902,4232,4537,4784
6,Ireland,,5994,4312,3001,2016,1310
7,Greece,,19103,18466,17804,16916,15813
8,Spain,,36829,28598,21968,16726,12612
9,France,,80189,62303,46959,34342,24378
10,Croatia,,5585,7404,10193,14337,20365
11,Italy,,39134,35354,31090,26615,22189
12,Cyprus,,1612,1394,1185,994,821
13,Latvia,,2763,3814,5220,7030,9293
14,Lithuania,,5162,6120,7862,11101,16937
15,Luxembourg,,658,754,875,1020,1191
16,Hungary,,1532,1691,1742,1670,1487
17,Malta,,381,376,365,348,327
18,Netherlands,,18303,18048,17748,17405,17015
19,Austria,,11595,12680,13705,14596,15339
20,Poland,,2545,3134,3858,4759,5868
21,Portugal,,10943,8796,6706,4832,3284
22,Romania,,11518,15848,21989,30552,42522
23,Slovenia,,4492,5549,6964,8823,11274
24,Slovakia,,1657,2378,3430,4968,7201
25,Finland,,3452,3148,2810,2449,2073
26,Sweden,,7003,6656,6090,5379,4598
27,United Kingdom,,246319,244870,239237,229515,216258
28,Iceland,,307,208,124,65,29
29,Liechtenstein,,53,50,46,41,34
30,Norway,,12563,16398,22114,29854,40167
31,Switzerland,,13528,11654,9752,7909,6241
