,Region,823,829,836,843,850,857
0,Belgium,,50426,61444,85351,129671,197781
1,Bulgaria,,3441,3212,3078,3030,3059
2,Czechia,,13438,12355,12084,12596,14006
3,Denmark,,15749,27319,58736,139885,296946
4,Germany,,603931,607113,678681,846287,1166790
5,Estonia,,2552,2303,2202,2263,2507
6,Ireland,,9918,10033,11512,14947,21645
7,Greece,,42460,37905,37004,39995,47864
8,Spain,,69585,87616,131949,231178,352933
9,France,,586108,612518,741541,971514,1231430
10,Croatia,,1395,706,377,245,181
11,Italy,,451381,554344,735504,925170,1100410
12,Cyprus,,4706,3763,3330,3346,3810
13,Latvia,,3396,3384,3718,4616,6466
14,Lithuania,,5808,6129,7804,12514,24379
15,Luxembourg,,0,0,0,0,0
16,Hungary,,11563,12157,13368,15354,18368
17,Malta,,1357,1004,980,1189,1698
18,Netherlands,,26770,31478,47615,91366,192366
19,Austria,,51223,59895,84685,138274,229305
20,Poland,,4954,4051,3429,3013,2750
21,Portugal,,78355,102745,146660,219589,320861
22,Romania,,5754,4580,3687,3002,2467
23,Slovenia,,10415,15932,27090,46082,69495
24,Slovakia,,11913,10115,9025,8494,8447
25,Finland,,44800,46649,50426,55212,58326
26,Sweden,,1285,631,337,196,124
27,United Kingdom,,178866,180330,198507,237941,307432
28,Iceland,,2391,7433,24176,46515,32493
29,Liechtenstein,,143,142,161,209,302
30,Norway,,4388,6101,10272,20797,46949
31,Switzerland,,30255,36654,53670,84980,117243
