,Region,522,528,535,542,549,556
0,Belgium,,2313,1319,675,312,128
1,Bulgaria,,482,380,297,231,178
2,Czechia,,677,451,285,172,99
3,Denmark,,1223,910,698,555,455
4,Germany,,3764,2228,1260,698,375
5,Estonia,,162,107,68,43,26
6,Ireland,,2087,1860,1613,1359,1117
7,Greece,,2170,1443,923,568,337
8,Spain,,20845,17077,13424,10183,7429
9,France,,10908,6856,4098,2337,1273
10,Croatia,,419,286,192,125,80
11,Italy,,4556,3086,1901,1163,681
12,Cyprus,,888,1072,1255,1420,1552
13,Latvia,,451,308,208,138,92
14,Lithuania,,319,179,97,52,28
15,Luxembourg,,58,33,18,9,4
16,Hungary,,424,334,277,241,220
17,Malta,,12,9,6,5,3
18,Netherlands,,3505,2062,1103,549,251
19,Austria,,596,401,252,158,95
20,Poland,,746,435,244,134,70
21,Portugal,,7096,6814,6106,5095,3952
22,Romania,,336,231,159,108,73
23,Slovenia,,288,173,100,56,32
24,Slovakia,,210,146,99,67,44
25,Finland,,583,488,371,253,155
26,Sweden,,2199,1447,901,533,301
27,United Kingdom,,77831,79944,77469,70729,60785
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,3,2,1,1,1
30,Norway,,1106,902,688,491,328
31,Switzerland,,720,420,235,126,64
