,Region,424,430,437,444,451,458
0,Belgium,,24175,25545,26798,27916,28863
1,Bulgaria,,21291,23488,26092,28673,31362
2,Czechia,,69329,64845,59786,54944,50497
3,Denmark,,5104,5414,5730,6047,6362
4,Germany,,103512,127409,155501,181869,222633
5,Estonia,,10171,10551,10875,11130,11261
6,Ireland,,3307,3149,2945,2765,2590
7,Greece,,16767,17038,17253,17395,17464
8,Spain,,23320,18641,14927,11949,9561
9,France,,181115,184894,187208,188011,187261
10,Croatia,,7119,8476,10035,11791,13734
11,Italy,,152167,142916,133142,123256,113454
12,Cyprus,,2633,2583,2520,2443,2355
13,Latvia,,3640,3593,3491,3400,3297
14,Lithuania,,3958,4323,4701,5086,5474
15,Luxembourg,,1245,1161,1079,998,920
16,Hungary,,55042,55056,54105,52320,49812
17,Malta,,1571,1434,1297,1162,1034
18,Netherlands,,48463,54334,60326,66245,71870
19,Austria,,22629,25231,28292,31365,34760
20,Poland,,149907,171739,194173,216167,236493
21,Portugal,,2849,2181,1666,1270,968
22,Romania,,39989,44039,48198,52375,56470
23,Slovenia,,5979,6318,6630,6901,7126
24,Slovakia,,11760,10752,9723,8752,7927
25,Finland,,5362,5772,6192,6636,7098
26,Sweden,,29603,31228,31103,31727,32400
27,United Kingdom,,36516,33556,30776,28186,25785
28,Iceland,,14,15,14,14,15
29,Liechtenstein,,23,25,26,29,31
30,Norway,,7323,8326,9426,10618,11891
31,Switzerland,,9330,10589,10721,11680,12667
