,Region,718,724,731,738,745,752
0,Belgium,,211735,290338,342776,313524,199682
1,Bulgaria,,62976,110254,183357,266194,318966
2,Czechia,,63772,86730,113958,137440,150495
3,Denmark,,82284,49682,28363,16397,9778
4,Germany,,617697,1065600,1743350,2382040,2515080
5,Estonia,,13731,18917,25567,32392,37282
6,Ireland,,134800,108532,77356,51584,33535
7,Greece,,272688,237699,176341,117178,73436
8,Spain,,1116010,1127220,927222,626442,376860
9,France,,1989240,1856530,1396280,872447,487053
10,Croatia,,50163,61455,72925,81655,85378
11,Italy,,1455760,1589380,1404910,998882,609343
12,Cyprus,,38143,33130,22695,12847,6328
13,Latvia,,16489,23993,33628,42995,48824
14,Lithuania,,27249,35430,43417,48925,50735
15,Luxembourg,,14274,20205,24750,24472,19601
16,Hungary,,31266,35673,41111,47463,54751
17,Malta,,3944,2079,951,458,248
18,Netherlands,,289138,384302,410140,344548,237860
19,Austria,,106030,222514,434235,594634,522935
20,Poland,,117306,199610,376629,679298,1068590
21,Portugal,,60751,44814,30580,19485,12134
22,Romania,,139118,506584,1630920,3166480,2746870
23,Slovenia,,53975,122759,212115,198290,108473
24,Slovakia,,22232,25778,30396,35096,39117
25,Finland,,61829,74840,86004,89771,83280
26,Sweden,,186089,229976,267822,282561,264878
27,United Kingdom,,1045380,804321,577699,405280,284615
28,Iceland,,10046,7591,4708,2714,1601
29,Liechtenstein,,782,1217,1694,1821,1398
30,Norway,,67478,88985,109465,120571,117953
31,Switzerland,,189448,193551,169834,129043,88140
