,Region,557,563,570,577,584,591
0,Belgium,,14314,16722,19102,21370,23313
1,Bulgaria,,1865,2769,4116,6119,9060
2,Czechia,,1175,1032,891,752,621
3,Denmark,,5490,4585,3461,2349,1429
4,Germany,,17617,21369,25472,29732,34020
5,Estonia,,1494,2178,3092,4279,5746
6,Ireland,,9183,8908,8214,7174,5952
7,Greece,,18461,17701,16476,14847,12990
8,Spain,,156618,136597,111340,84572,60023
9,France,,185705,213680,225443,214398,185058
10,Croatia,,1204,1323,1435,1532,1613
11,Italy,,43414,51660,59336,65204,68784
12,Cyprus,,4438,3515,2672,1951,1375
13,Latvia,,480,560,643,728,810
14,Lithuania,,2544,3439,4448,5457,6363
15,Luxembourg,,372,284,211,153,108
16,Hungary,,421,464,519,591,684
17,Malta,,678,496,344,226,141
18,Netherlands,,23173,16332,11406,7816,5309
19,Austria,,3274,3637,3991,4295,4555
20,Poland,,943,1069,1203,1340,1478
21,Portugal,,16968,14267,11540,8971,6716
22,Romania,,1424,2158,3283,4999,7591
23,Slovenia,,629,720,808,889,959
24,Slovakia,,401,507,640,802,998
25,Finland,,5088,6605,8412,10462,12684
26,Sweden,,3493,3533,3253,2710,2029
27,United Kingdom,,162114,125024,94834,70540,51781
28,Iceland,,1114,1682,2508,3546,4814
29,Liechtenstein,,13,14,15,16,16
30,Norway,,2216,2316,2200,1889,1455
31,Switzerland,,5330,5523,5650,5632,5532
