,Region,774,780,787,794,801,808
0,Belgium,,6500,3449,1827,1160,926
1,Bulgaria,,9060,6476,4537,3211,2294
2,Czechia,,44319,40797,39447,40484,43412
3,Denmark,,0,0,0,0,0
4,Germany,,860122,762855,658589,580620,519434
5,Estonia,,11224,8294,5804,4238,3210
6,Ireland,,9775,8875,8418,8222,7891
7,Greece,,85607,83213,83293,86007,89715
8,Spain,,21556,20761,14202,12958,12295
9,France,,87535,71922,58209,43617,27503
10,Croatia,,7772,6962,6583,6564,6821
11,Italy,,195299,209605,238558,296764,387578
12,Cyprus,,9433,7675,6010,4828,3948
13,Latvia,,25164,17564,11118,7327,4973
14,Lithuania,,24100,19403,15439,12622,10617
15,Luxembourg,,0,0,0,0,0
16,Hungary,,13944,9730,6731,4785,3501
17,Malta,,655,930,1513,2424,3930
18,Netherlands,,46062,22715,13472,11323,12901
19,Austria,,56664,38333,29627,26272,26270
20,Poland,,64845,54605,47781,43876,41928
21,Portugal,,10298,7025,4899,3729,3246
22,Romania,,30124,23242,18022,14313,11574
23,Slovenia,,5656,5257,5178,5512,6200
24,Slovakia,,48224,37201,28670,23762,21102
25,Finland,,34994,38461,44288,51818,60033
26,Sweden,,863,68,5,0,0
27,United Kingdom,,258924,332823,432253,495410,499619
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,352,224,133,83,61
30,Norway,,32266,25180,18937,15267,12964
31,Switzerland,,66261,57246,49279,42694,37600
