,Region,550,556,563,570,577,584
0,Belgium,,10789,11363,11704,11695,11365
1,Bulgaria,,855,1078,1356,1699,2114
2,Czechia,,1529,1513,1479,1417,1332
3,Denmark,,1372,115,0,0,0
4,Germany,,12561,14873,17251,19513,21544
5,Estonia,,694,875,1076,1296,1523
6,Ireland,,10177,11520,12035,11541,10151
7,Greece,,19296,19254,18568,17202,15396
8,Spain,,191276,189421,173562,146174,113616
9,France,,192191,295901,424514,557522,663809
10,Croatia,,1211,1474,1774,2114,2486
11,Italy,,39693,56814,79443,107475,140420
12,Cyprus,,6444,5897,5140,4261,3381
13,Latvia,,299,298,294,287,276
14,Lithuania,,1648,2528,3798,5519,7740
15,Luxembourg,,571,466,360,262,180
16,Hungary,,437,532,662,846,1106
17,Malta,,1344,1302,1178,970,744
18,Netherlands,,48890,42253,34609,26264,18790
19,Austria,,3062,3713,4432,5167,5903
20,Poland,,829,1007,1245,1554,1955
21,Portugal,,22062,19278,15208,10794,6873
22,Romania,,770,1038,1405,1907,2586
23,Slovenia,,532,657,811,990,1193
24,Slovakia,,262,319,383,457,539
25,Finland,,2983,3323,3562,3661,3605
26,Sweden,,2652,2618,2298,1781,1199
27,United Kingdom,,288406,279152,262251,238621,211206
28,Iceland,,835,1700,3358,6205,10353
29,Liechtenstein,,17,23,29,37,46
30,Norway,,1454,1469,1392,1230,1005
31,Switzerland,,6114,8076,10502,13315,16497
