,Region,480,486,493,500,507,514
0,Belgium,,16009,13813,11878,10185,8713
1,Bulgaria,,3289,2540,1891,1427,1072
2,Czechia,,7498,5957,4728,3751,2975
3,Denmark,,7669,8686,9757,10803,12045
4,Germany,,59511,43230,31396,22790,16534
5,Estonia,,2035,1860,1699,1547,1410
6,Ireland,,2611,2398,2163,1962,1775
7,Greece,,15223,15340,15106,14934,14715
8,Spain,,30715,25204,20629,16874,13806
9,France,,88594,69883,58722,45594,37296
10,Croatia,,5576,4205,3108,2306,1717
11,Italy,,49402,41992,35610,30152,25496
12,Cyprus,,1504,1030,705,482,328
13,Latvia,,4685,4896,5067,5236,5380
14,Lithuania,,8240,8118,7927,7677,7374
15,Luxembourg,,605,462,354,271,207
16,Hungary,,5954,4637,3541,2727,2092
17,Malta,,26,11,5,2,1
18,Netherlands,,39271,34563,30243,26327,22814
19,Austria,,5466,4095,3002,2236,1652
20,Poland,,22379,18532,15327,12662,10455
21,Portugal,,2698,2775,2854,2938,3021
22,Romania,,5688,4562,3605,2868,2274
23,Slovenia,,3049,2434,1940,1542,1224
24,Slovakia,,1871,1550,1275,1050,865
25,Finland,,1346,1289,1227,1168,1112
26,Sweden,,23206,17348,12944,9629,7146
27,United Kingdom,,16145,16494,16838,17180,17514
28,Iceland,,21,14,11,7,5
29,Liechtenstein,,14,9,5,4,2
30,Norway,,2850,2808,2762,2714,2667
31,Switzerland,,7162,5776,4664,3760,3029
