,Region,634,640,647,654,661,668
0,Belgium,,20939,24394,28351,32838,37866
1,Bulgaria,,23411,28999,36561,46150,58144
2,Czechia,,11501,17306,28182,48938,88712
3,Denmark,,5424,6289,7265,8355,9555
4,Germany,,63598,65849,68084,70284,72426
5,Estonia,,8739,10352,12319,14677,17424
6,Ireland,,13017,14583,16141,17621,18945
7,Greece,,16907,17313,17613,17798,17865
8,Spain,,9676,8769,8098,7637,7367
9,France,,32546,31646,31013,30613,30413
10,Croatia,,10344,11166,12198,13471,15014
11,Italy,,15189,13482,11977,10658,9500
12,Cyprus,,1088,1255,1444,1658,1898
13,Latvia,,15325,17827,19874,21118,21318
14,Lithuania,,17625,19035,20300,21353,22132
15,Luxembourg,,732,757,781,803,824
16,Hungary,,6830,8490,10527,13005,15996
17,Malta,,97,81,68,56,47
18,Netherlands,,27254,34125,42703,53332,66376
19,Austria,,13990,14174,14291,14339,14319
20,Poland,,19624,25012,31995,41060,52861
21,Portugal,,4566,4763,5023,5357,5777
22,Romania,,105212,110428,113460,114023,112062
23,Slovenia,,6716,7117,7541,7981,8427
24,Slovakia,,9792,9803,9763,9671,9527
25,Finland,,4481,4875,5288,5719,6166
26,Sweden,,3815,3618,3432,3259,3097
27,United Kingdom,,292122,304529,314516,321707,325807
28,Iceland,,314,323,333,343,354
29,Liechtenstein,,18,21,25,30,36
30,Norway,,2522,2257,2016,1799,1604
31,Switzerland,,5328,4659,4072,3558,3109
