,Region,564,570,577,584,591,598
0,Belgium,,12349,12452,12229,11683,10854
1,Bulgaria,,4018,5934,8724,12679,18213
2,Czechia,,1047,931,812,694,582
3,Denmark,,5963,5434,4662,3769,2864
4,Germany,,21842,25351,29032,32707,36293
5,Estonia,,1561,1697,1776,1776,1707
6,Ireland,,9302,8336,6891,5242,3667
7,Greece,,18726,18042,17005,15676,14139
8,Spain,,121521,96202,71000,48830,31296
9,France,,165653,157420,136903,108374,78191
10,Croatia,,1306,1412,1531,1661,1804
11,Italy,,42569,42971,41573,38343,33800
12,Cyprus,,3519,2861,2249,1717,1274
13,Latvia,,525,565,599,626,644
14,Lithuania,,3470,3997,4359,4442,4268
15,Luxembourg,,336,282,234,193,158
16,Hungary,,364,367,374,386,403
17,Malta,,314,211,139,90,57
18,Netherlands,,13957,9610,6515,4356,2875
19,Austria,,3761,4068,4364,4629,4864
20,Poland,,1158,1303,1458,1616,1776
21,Portugal,,14123,11745,9475,7424,5653
22,Romania,,1962,2605,3469,4606,6113
23,Slovenia,,978,1161,1352,1538,1713
24,Slovakia,,377,387,396,399,400
25,Finland,,4162,4082,3882,3553,3149
26,Sweden,,5151,5692,5900,5718,5169
27,United Kingdom,,165305,143208,121644,101659,83604
28,Iceland,,796,779,738,671,592
29,Liechtenstein,,15,17,19,21,23
30,Norway,,3246,3529,3532,3239,2711
31,Switzerland,,7043,7870,8638,9290,9796
