,Region,543,549,556,563,570,577
0,Belgium,,11089,12469,13552,14192,14311
1,Bulgaria,,542,598,652,706,758
2,Czechia,,1991,2257,2498,2692,2827
3,Denmark,,3618,929,60,0,0
4,Germany,,11499,15849,21066,26990,33302
5,Estonia,,443,531,622,710,789
6,Ireland,,8425,12700,19473,30164,46630
7,Greece,,24069,30361,36381,41227,44072
8,Spain,,207312,247507,269680,266878,239554
9,France,,74937,121204,186911,273307,376357
10,Croatia,,935,1147,1380,1627,1879
11,Italy,,22503,35683,54674,80768,114742
12,Cyprus,,7831,8417,8576,8270,7555
13,Latvia,,235,202,172,143,118
14,Lithuania,,725,1026,1421,1926,2557
15,Luxembourg,,656,516,371,243,144
16,Hungary,,306,338,388,461,566
17,Malta,,2255,3788,5611,7162,7746
18,Netherlands,,96087,122624,136222,130418,106886
19,Austria,,3228,5520,9111,14464,22007
20,Poland,,608,594,570,540,506
21,Portugal,,24984,25713,24136,20613,15947
22,Romania,,462,554,663,790,940
23,Slovenia,,371,345,317,286,251
24,Slovakia,,135,111,89,70,55
25,Finland,,2631,3216,3786,4295,4691
26,Sweden,,1712,1372,961,587,310
27,United Kingdom,,377424,477399,580566,676531,751904
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,4,2,1,0,0
30,Norway,,1044,890,713,542,388
31,Switzerland,,4009,5412,6921,8363,9525
