,Region,690,696,703,710,717,724
0,Belgium,,114090,122322,115168,87172,53810
1,Bulgaria,,10198,8602,7132,5823,4687
2,Czechia,,86266,81600,87728,101985,114081
3,Denmark,,35501,28222,22047,18793,19026
4,Germany,,1680680,1486260,948264,492248,220044
5,Estonia,,2638,2095,1645,1282,994
6,Ireland,,20273,11785,6068,2940,1393
7,Greece,,27998,19748,13030,8185,5012
8,Spain,,454084,1029800,935179,458971,207861
9,France,,972414,1545600,1236250,611206,256122
10,Croatia,,18992,14557,10827,7885,5671
11,Italy,,127391,158746,236215,403364,673824
12,Cyprus,,3893,3454,2791,2095,1494
13,Latvia,,3802,3063,2432,1913,1495
14,Lithuania,,8947,6641,4660,3159,2118
15,Luxembourg,,4547,5183,3338,1700,881
16,Hungary,,36982,25025,15428,8881,4884
17,Malta,,660,699,725,730,709
18,Netherlands,,186760,224121,202099,131170,69953
19,Austria,,15967,5607,1658,452,120
20,Poland,,144656,121606,93368,65855,43214
21,Portugal,,38028,42477,32842,17899,7834
22,Romania,,4288,2647,1623,1000,623
23,Slovenia,,6732,4204,2591,1587,975
24,Slovakia,,51298,41380,32054,24244,18119
25,Finland,,13202,17220,20972,22293,19829
26,Sweden,,87146,121508,91851,60962,36339
27,United Kingdom,,324639,426072,698044,1056950,1067820
28,Iceland,,481,265,145,80,45
29,Liechtenstein,,406,333,228,132,67
30,Norway,,49686,54291,37725,18048,7197
31,Switzerland,,88184,121124,151087,145585,102965
