,Region,410,416,423,430,437,444
0,Belgium,,16470,14564,12796,11203,9781
1,Bulgaria,,9259,9109,8960,8787,8590
2,Czechia,,90449,90213,87528,82646,76045
3,Denmark,,3909,4092,4292,4490,4694
4,Germany,,59127,62587,65049,66598,70274
5,Estonia,,6338,6359,6423,6424,6401
6,Ireland,,3617,3188,2801,2457,2152
7,Greece,,7288,6671,6218,5749,5329
8,Spain,,24432,15212,9478,5905,3678
9,France,,159662,155961,150606,145171,139460
10,Croatia,,3829,4194,4583,4991,5418
11,Italy,,150973,168579,186726,204946,222678
12,Cyprus,,2494,3222,4129,5236,6545
13,Latvia,,4380,4192,4014,3818,3626
14,Lithuania,,3367,3197,3025,2854,2685
15,Luxembourg,,935,730,568,442,343
16,Hungary,,26045,29209,33063,37025,41273
17,Malta,,1902,2069,2221,2348,2441
18,Netherlands,,34200,35721,37337,38825,40247
19,Austria,,17005,19108,21377,23720,26228
20,Poland,,93957,107583,122190,137459,152958
21,Portugal,,5185,4233,3450,2808,2284
22,Romania,,27692,33069,37563,42616,50009
23,Slovenia,,5748,5782,5778,5738,5658
24,Slovakia,,17389,18224,19010,19729,20386
25,Finland,,4548,4870,5201,5542,5887
26,Sweden,,18246,17357,16464,15140,14329
27,United Kingdom,,38491,29727,22924,17661,13598
28,Iceland,,7,6,6,6,6
29,Liechtenstein,,19,21,22,25,26
30,Norway,,4010,5410,6628,8321,10864
31,Switzerland,,5918,5029,4270,3623,3068
