,Region,795,801,808,815,822,829
0,Belgium,,86995,113173,165140,246546,333141
1,Bulgaria,,8166,7203,6455,5886,5463
2,Czechia,,54837,59821,68510,82012,101811
3,Denmark,,41323,72162,169206,363017,414956
4,Germany,,398351,265166,227029,294332,521249
5,Estonia,,7208,5976,5235,4972,5144
6,Ireland,,79231,106145,124550,122414,101745
7,Greece,,125459,120396,112945,105918,101136
8,Spain,,98425,98659,103538,128207,177201
9,France,,1136510,1425310,1705370,1861540,1807200
10,Croatia,,5035,4932,4555,5076,6895
11,Italy,,447530,480499,563350,610168,630453
12,Cyprus,,32956,31007,27826,24316,20887
13,Latvia,,13856,10117,7642,6114,5204
14,Lithuania,,19625,17027,15372,14540,14449
15,Luxembourg,,6474,7980,10442,14353,20208
16,Hungary,,17089,20062,24495,31040,40614
17,Malta,,3509,5160,7602,10287,11514
18,Netherlands,,184563,155190,156384,193518,271502
19,Austria,,139482,111565,98884,98260,108804
20,Poland,,44895,39245,35556,33420,32610
21,Portugal,,93026,126868,173349,214297,268555
22,Romania,,25782,28121,32048,38143,47375
23,Slovenia,,23009,27189,32455,38422,44043
24,Slovakia,,56059,51087,47995,47068,48208
25,Finland,,56900,55601,51891,44083,31673
26,Sweden,,2734,1273,654,377,242
27,United Kingdom,,636238,700703,821895,1005370,1237350
28,Iceland,,5195,4623,5357,7755,12634
29,Liechtenstein,,499,411,388,402,515
30,Norway,,14227,13160,15255,22796,41166
31,Switzerland,,115742,94035,84497,85617,96757
