,Region,767,773,780,787,794,801
0,Belgium,,4401,2001,671,309,160
1,Bulgaria,,16434,13311,11095,9736,8966
2,Czechia,,50108,40570,34800,32260,31872
3,Denmark,,0,0,0,0,0
4,Germany,,858326,717918,585704,492329,422150
5,Estonia,,15008,10291,6527,4285,2927
6,Ireland,,5711,3616,2088,1255,910
7,Greece,,82759,70103,61492,58489,58880
8,Spain,,126140,117643,114432,116397,118590
9,France,,80235,55094,28289,11777,5102
10,Croatia,,12192,11201,10951,11303,12106
11,Italy,,192934,195250,211415,257625,336413
12,Cyprus,,10252,7787,5649,4152,3146
13,Latvia,,38809,26989,17124,11121,7381
14,Lithuania,,31117,25620,20830,17227,14470
15,Luxembourg,,0,0,0,0,0
16,Hungary,,22171,15622,10924,7864,5839
17,Malta,,523,652,1039,1925,3435
18,Netherlands,,12209,4749,1896,882,472
19,Austria,,83926,75261,65828,60868,58634
20,Poland,,80774,62347,49487,41404,36341
21,Portugal,,7551,3987,1390,538,214
22,Romania,,58932,55535,56648,62086,71563
23,Slovenia,,6090,4541,3728,3500,3638
24,Slovakia,,68395,51183,37898,30247,25807
25,Finland,,29163,30570,35089,42755,53331
26,Sweden,,1188,87,6,1,0
27,United Kingdom,,120248,126192,152056,161835,172543
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,261,191,138,105,84
30,Norway,,37673,29326,21223,16531,13513
31,Switzerland,,50679,46013,42428,40664,39802
