,Region,676,682,689,696,703,710
0,Belgium,,133932,139703,132766,116908,96558
1,Bulgaria,,13094,10397,8196,6421,4997
2,Czechia,,138737,136180,118803,93884,68902
3,Denmark,,30004,28977,26039,22674,19208
4,Germany,,456663,466536,438205,391243,333444
5,Estonia,,3412,2443,1750,1251,890
6,Ireland,,27459,21724,15931,11276,7850
7,Greece,,45610,41577,35328,28704,22375
8,Spain,,59081,65834,67571,64463,57978
9,France,,194946,232855,258239,269510,267613
10,Croatia,,30400,25707,20425,15380,11126
11,Italy,,83094,83080,77120,67230,55842
12,Cyprus,,2268,2293,2257,2152,1975
13,Latvia,,4528,3212,2307,1661,1193
14,Lithuania,,9774,7496,5706,4235,3123
15,Luxembourg,,2534,2777,2730,2403,1913
16,Hungary,,76341,76718,70647,59992,47312
17,Malta,,705,849,981,1081,1129
18,Netherlands,,193069,205279,210087,200465,173011
19,Austria,,76438,54207,31968,16571,7995
20,Poland,,182005,197975,202651,194348,174637
21,Portugal,,27050,36372,47643,60043,71886
22,Romania,,9847,5981,3574,2117,1244
23,Slovenia,,13750,9563,6039,3573,2044
24,Slovakia,,77455,71025,58839,44363,30739
25,Finland,,10159,12553,15558,20458,25652
26,Sweden,,10091,10581,10363,9247,7785
27,United Kingdom,,208307,135001,80150,44939,26018
28,Iceland,,886,653,414,252,159
29,Liechtenstein,,484,588,600,516,373
30,Norway,,17729,16617,14404,11861,9495
31,Switzerland,,53163,55447,48249,34409,20501
