,Region,459,465,472,479,486,493
0,Belgium,,25507,25230,24792,24204,23478
1,Bulgaria,,9366,7331,5707,4446,3460
2,Czechia,,16747,13860,11464,9471,7814
3,Denmark,,5383,5641,5900,6156,6410
4,Germany,,141291,136491,131487,126162,120551
5,Estonia,,2668,2286,1952,1662,1410
6,Ireland,,3072,3274,3485,3699,3918
7,Greece,,17730,16309,14949,13655,12431
8,Spain,,51175,44909,39348,34401,30014
9,France,,202077,175002,150464,128540,109211
10,Croatia,,16618,17345,17929,18396,18749
11,Italy,,89648,81916,75933,69710,63855
12,Cyprus,,6703,7773,8833,9808,10611
13,Latvia,,4371,4684,5011,5331,5651
14,Lithuania,,7996,8077,8091,8038,7917
15,Luxembourg,,1029,870,734,617,519
16,Hungary,,19266,14961,11553,8892,6828
17,Malta,,215,170,133,106,83
18,Netherlands,,60575,63072,64912,66019,66343
19,Austria,,14876,13740,12633,11567,10553
20,Poland,,69659,52089,38783,28799,21344
21,Portugal,,3563,3540,3512,3481,3448
22,Romania,,16760,13877,11466,9458,7794
23,Slovenia,,4777,4283,3808,3385,3007
24,Slovakia,,4033,3571,3159,2789,2461
25,Finland,,1610,1374,1169,996,847
26,Sweden,,30415,23197,17624,13333,10049
27,United Kingdom,,17221,16686,16163,15648,15137
28,Iceland,,71,92,121,157,204
29,Liechtenstein,,61,58,54,52,48
30,Norway,,2905,2446,2059,1730,1454
31,Switzerland,,11826,10354,9056,7900,6874
