,Region,753,759,766,773,780,787
0,Belgium,,50877,24765,11485,5932,3378
1,Bulgaria,,33717,27112,21275,16640,13013
2,Czechia,,152409,138690,126236,111602,93982
3,Denmark,,0,0,0,0,0
4,Germany,,1144270,924398,685947,497219,367966
5,Estonia,,31474,22791,15624,10592,7178
6,Ireland,,12703,10200,8737,8087,7909
7,Greece,,93683,65785,43181,28149,18743
8,Spain,,359536,425507,532295,632181,659930
9,France,,364740,196996,93061,39033,15018
10,Croatia,,35424,40276,52240,71173,93662
11,Italy,,297191,245285,229617,254520,308627
12,Cyprus,,12473,8916,6060,4122,2860
13,Latvia,,62012,50122,35991,23981,15342
14,Lithuania,,57817,47043,36510,27989,21500
15,Luxembourg,,5030,3776,3070,2788,2801
16,Hungary,,62130,48648,37174,28555,22197
17,Malta,,568,344,211,141,104
18,Netherlands,,418606,244120,116525,53543,24753
19,Austria,,143004,85908,47999,27211,16074
20,Poland,,179293,143205,114612,94589,80932
21,Portugal,,50322,19923,6837,2667,1114
22,Romania,,145125,126291,107293,90161,75129
23,Slovenia,,27304,13688,6370,3063,1527
24,Slovakia,,139952,112748,82544,57892,40146
25,Finland,,48353,41301,34549,28830,24250
26,Sweden,,23462,4157,808,162,34
27,United Kingdom,,320459,210842,146499,111275,90055
28,Iceland,,558,82,15,5,3
29,Liechtenstein,,619,481,344,244,175
30,Norway,,99862,81787,61783,47650,37154
31,Switzerland,,118867,94781,81535,77156,76048
