,Region,494,500,507,514,521,528
0,Belgium,,12843,11417,9849,8210,6809
1,Bulgaria,,1251,856,576,387,258
2,Czechia,,2776,1837,1161,710,417
3,Denmark,,6473,5828,5026,4173,3326
4,Germany,,28131,19838,13439,8900,5827
5,Estonia,,835,595,410,278,185
6,Ireland,,0,0,0,0,0
7,Greece,,10232,8583,6892,5373,4043
8,Spain,,26411,22348,18310,14544,11203
9,France,,61310,50750,39221,28267,18970
10,Croatia,,1899,1217,754,452,262
11,Italy,,22002,15934,10873,6993,4235
12,Cyprus,,399,239,137,75,39
13,Latvia,,1985,1526,1137,838,604
14,Lithuania,,3176,2287,1590,1088,724
15,Luxembourg,,195,101,51,24,11
16,Hungary,,1962,1285,778,476,279
17,Malta,,28,25,21,16,11
18,Netherlands,,18500,13447,9278,6088,3793
19,Austria,,2938,2159,1483,951,570
20,Poland,,5217,3154,1807,1037,578
21,Portugal,,3603,3628,3455,3106,2634
22,Romania,,1789,1173,754,485,309
23,Slovenia,,1836,1461,1112,810,565
24,Slovakia,,617,401,251,155,93
25,Finland,,821,571,373,228,132
26,Sweden,,7139,3579,1720,788,342
27,United Kingdom,,21330,22595,22989,22460,21059
28,Iceland,,1,0,0,0,0
29,Liechtenstein,,8,7,4,3,2
30,Norway,,2934,2959,2967,2941,2930
31,Switzerland,,5041,4004,3150,2405,1801
