,Region,746,752,759,766,773,780
0,Belgium,,112590,54917,24638,11830,6105
1,Bulgaria,,48158,42283,36167,30552,25599
2,Czechia,,227736,216103,203277,180385,143777
3,Denmark,,17934,10399,4547,3082,2442
4,Germany,,1275070,1161630,967730,746923,551659
5,Estonia,,48240,42838,33591,23897,15632
6,Ireland,,18093,11156,7097,4944,3734
7,Greece,,93875,66309,43505,28032,18195
8,Spain,,333469,285778,244707,201031,154304
9,France,,857514,544364,314883,187769,101309
10,Croatia,,45037,40869,36479,32216,28193
11,Italy,,466414,437401,511247,649073,748473
12,Cyprus,,18075,14776,11097,8025,5743
13,Latvia,,52037,39251,26787,17592,11486
14,Lithuania,,83710,79210,65194,47359,31246
15,Luxembourg,,9063,6630,4719,3379,2464
16,Hungary,,104459,94597,80481,65749,52448
17,Malta,,579,284,132,65,35
18,Netherlands,,528752,458450,332018,198329,93653
19,Austria,,187208,125089,68261,34201,17093
20,Poland,,328553,317957,299984,278680,257578
21,Portugal,,141269,66617,26499,11883,5669
22,Romania,,250190,283086,308645,319228,312610
23,Slovenia,,67224,41569,22428,11899,6407
24,Slovakia,,171364,171996,145246,105689,69507
25,Finland,,24706,19194,14103,10651,8129
26,Sweden,,152843,70642,14956,1649,153
27,United Kingdom,,1527000,1611760,1417340,878310,382495
28,Iceland,,1724,906,395,205,121
29,Liechtenstein,,628,454,306,203,136
30,Norway,,88129,61561,42017,29570,21613
31,Switzerland,,178059,141871,110413,92637,84447
