,Region,620,626,633,640,647,654
0,Belgium,,11597,11103,10524,9961,9340
1,Bulgaria,,14359,16142,18157,20446,22996
2,Czechia,,5073,6312,7932,10077,12890
3,Denmark,,3313,3611,3924,4264,4610
4,Germany,,53964,50851,47033,42764,38170
5,Estonia,,5292,6078,6948,7866,8822
6,Ireland,,9338,9259,9069,8781,8402
7,Greece,,15011,14550,13932,13180,12308
8,Spain,,12223,10087,8257,6729,5448
9,France,,30105,24533,19608,15411,11886
10,Croatia,,10154,11972,15496,23882,43540
11,Italy,,18783,15543,12496,9779,7439
12,Cyprus,,566,452,355,274,208
13,Latvia,,8032,10251,12822,15644,18528
14,Lithuania,,12588,13725,14528,14908,14829
15,Luxembourg,,573,570,564,552,536
16,Hungary,,2695,1973,1083,374,34
17,Malta,,80,58,41,28,19
18,Netherlands,,11283,10448,9602,8773,7956
19,Austria,,11487,10834,10055,9195,8285
20,Poland,,8583,10523,12895,15753,19188
21,Portugal,,3652,3031,2493,2039,1655
22,Romania,,88367,114348,143726,173326,199984
23,Slovenia,,5935,5663,5289,4814,4265
24,Slovakia,,7202,8921,11214,13981,17313
25,Finland,,3822,4219,4587,4931,5215
26,Sweden,,3619,3012,2445,1941,1504
27,United Kingdom,,242885,242422,238400,231239,221050
28,Iceland,,218,237,266,300,337
29,Liechtenstein,,7,4,2,1,1
30,Norway,,2922,2252,1731,1339,1044
31,Switzerland,,6495,4998,3820,2919,2236
