,Region,662,668,675,682,689,696
0,Belgium,,82255,92333,96676,93956,84971
1,Bulgaria,,22722,21374,19998,18586,17137
2,Czechia,,91203,108535,114645,105829,85392
3,Denmark,,26137,32746,38999,43589,45307
4,Germany,,310320,365421,410176,435104,437575
5,Estonia,,9412,10473,11675,13972,15313
6,Ireland,,32821,36335,37635,36358,32836
7,Greece,,62652,75170,87520,96265,98749
8,Spain,,15685,16071,16778,17967,19733
9,France,,71916,77470,80907,81725,79684
10,Croatia,,41097,42057,39269,33465,26185
11,Italy,,56926,64193,70103,74181,76231
12,Cyprus,,1759,1897,2000,2057,2061
13,Latvia,,7301,5471,3967,2796,1919
14,Lithuania,,14944,12523,10099,7902,6040
15,Luxembourg,,644,1082,2240,5230,13132
16,Hungary,,63362,78616,87091,85136,73353
17,Malta,,297,251,177,102,46
18,Netherlands,,118828,143694,161933,168190,160817
19,Austria,,82207,82354,70364,51266,32139
20,Poland,,133134,179487,234705,293021,343599
21,Portugal,,11530,14741,19243,25526,34144
22,Romania,,29101,20932,14852,10424,7249
23,Slovenia,,27019,31553,33836,32224,26893
24,Slovakia,,48439,54791,58281,57932,53746
25,Finland,,5666,6806,8251,9967,11902
26,Sweden,,4951,4283,3482,2657,1900
27,United Kingdom,,168844,102704,53644,24470,9590
28,Iceland,,1176,1235,1220,1128,986
29,Liechtenstein,,160,217,281,342,381
30,Norway,,15230,20001,25525,31196,35984
31,Switzerland,,27325,34350,41537,47866,52160
