,Region,536,542,549,556,563,570
0,Belgium,,5820,5568,4953,4095,3142
1,Bulgaria,,413,368,324,285,248
2,Czechia,,1313,1390,1432,1438,1405
3,Denmark,,1710,543,83,3,0
4,Germany,,3889,3071,2295,1630,1098
5,Estonia,,274,282,284,279,267
6,Ireland,,3414,3669,3941,4236,4551
7,Greece,,11574,14924,18256,21126,23083
8,Spain,,73281,78292,77452,70798,59706
9,France,,22104,22962,23002,22230,20727
10,Croatia,,603,590,568,538,501
11,Italy,,6208,5716,4997,4153,3281
12,Cyprus,,5000,6250,7501,8595,9361
13,Latvia,,263,199,149,110,79
14,Lithuania,,196,139,96,64,44
15,Luxembourg,,932,1062,1072,954,741
16,Hungary,,189,139,103,77,58
17,Malta,,52,60,66,71,72
18,Netherlands,,25900,31991,33684,29901,22104
19,Austria,,606,522,431,341,260
20,Poland,,452,318,219,149,98
21,Portugal,,15792,15246,13369,10618,7613
22,Romania,,271,230,193,161,136
23,Slovenia,,287,257,226,195,166
24,Slovakia,,154,126,99,78,59
25,Finland,,1669,1814,1869,1822,1679
26,Sweden,,1273,773,420,203,88
27,United Kingdom,,133026,126535,115406,100911,84624
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,15,17,21,22,25
30,Norway,,1108,832,541,304,146
31,Switzerland,,1275,1266,1220,1141,1036
