,Region,816,822,829,836,843,850
0,Belgium,,64127,78880,110173,165523,240844
1,Bulgaria,,3466,2873,2421,2082,1837
2,Czechia,,19947,18358,18046,19135,22262
3,Denmark,,19175,33681,74992,181218,353608
4,Germany,,614635,552598,544215,596841,751833
5,Estonia,,3280,2835,2592,2531,2647
6,Ireland,,12534,11748,12272,14328,18608
7,Greece,,61950,54749,53276,57503,68262
8,Spain,,17678,16207,17466,22026,32742
9,France,,810880,809696,891514,1045760,1232190
10,Croatia,,1967,974,549,371,291
11,Italy,,434911,511156,676972,854015,986824
12,Cyprus,,8006,6269,5375,5129,5438
13,Latvia,,4186,3801,3821,4280,5342
14,Lithuania,,18191,53140,133273,171653,98433
15,Luxembourg,,5033,4231,3552,2998,2555
16,Hungary,,12036,12437,13466,15258,18050
17,Malta,,3438,3742,4454,5613,7163
18,Netherlands,,45061,45005,54059,78082,125597
19,Austria,,58135,53745,56818,69134,93157
20,Poland,,5779,4541,3686,3101,2705
21,Portugal,,58822,72128,102008,159203,249591
22,Romania,,8314,6670,5411,4438,3674
23,Slovenia,,19394,49789,128614,190817,139258
24,Slovakia,,17351,14459,12649,11650,11326
25,Finland,,25034,22927,22545,23956,26938
26,Sweden,,1673,759,372,199,116
27,United Kingdom,,211931,202419,211326,240560,296344
28,Iceland,,1549,3701,11141,30698,42500
29,Liechtenstein,,227,214,227,274,366
30,Norway,,4703,5448,7527,12423,23819
31,Switzerland,,27910,29494,37431,56376,85498
