,Region,802,808,815,822,829,836
0,Belgium,,67262,78959,110473,162741,224776
1,Bulgaria,,6051,5088,4356,3803,3388
2,Czechia,,39122,37955,39295,43492,51322
3,Denmark,,22911,38784,87635,221291,397818
4,Germany,,1133340,950441,827662,783131,807600
5,Estonia,,5659,4870,4437,4331,4524
6,Ireland,,37534,34193,33405,35109,39425
7,Greece,,127050,121660,117049,116548,121303
8,Spain,,86651,95684,162165,221444,296135
9,France,,975498,1037420,1184110,1370100,1488290
10,Croatia,,3908,3376,2679,2784,3466
11,Italy,,421936,476443,621863,666667,702815
12,Cyprus,,24879,20319,16549,14010,12457
13,Latvia,,8180,6013,4795,4285,4353
14,Lithuania,,12717,10404,9028,8363,8300
15,Luxembourg,,2897,2327,2074,2157,2796
16,Hungary,,15813,17399,20019,24048,30052
17,Malta,,4200,5461,7295,9468,11082
18,Netherlands,,106913,96187,104219,132415,196346
19,Austria,,126567,105004,97907,103271,121161
20,Poland,,18691,13066,9487,7176,5664
21,Portugal,,85214,133541,233884,359848,441578
22,Romania,,17481,16025,15058,14490,14252
23,Slovenia,,16903,17273,18482,20551,23490
24,Slovakia,,37657,31762,28016,25987,25423
25,Finland,,13464,5016,1909,973,582
26,Sweden,,3917,2828,2349,2235,2446
27,United Kingdom,,493275,484820,519537,603308,743644
28,Iceland,,2920,3214,4956,9665,19414
29,Liechtenstein,,219,181,190,232,225
30,Norway,,9425,9315,11618,18391,35333
31,Switzerland,,62833,49483,46854,54195,69526
