,Region,732,738,745,752,759,766
0,Belgium,,315406,295621,245111,182856,127479
1,Bulgaria,,83248,103611,122309,133897,135758
2,Czechia,,273559,352043,341700,247893,144356
3,Denmark,,114819,40793,13244,4573,1677
4,Germany,,1058480,1299810,1444180,1400490,1194830
5,Estonia,,36152,46721,53189,51412,42242
6,Ireland,,16937,6918,2696,1100,471
7,Greece,,77779,44710,22869,11160,5302
8,Spain,,656093,424937,217613,92118,33657
9,France,,2037450,1449860,858807,452869,220494
10,Croatia,,54790,49287,41536,33622,26521
11,Italy,,860762,497994,231070,93055,34300
12,Cyprus,,6601,3322,1541,681,296
13,Latvia,,43151,46780,41421,30623,20031
14,Lithuania,,53399,63492,67710,63859,53992
15,Luxembourg,,15387,14947,13168,10572,7916
16,Hungary,,109399,127834,125368,100376,66362
17,Malta,,678,208,50,12,3
18,Netherlands,,296835,271877,235518,193687,152926
19,Austria,,191892,224269,240206,219395,166646
20,Poland,,402412,738556,1210520,1579310,1574270
21,Portugal,,301722,234700,138545,62998,22388
22,Romania,,212245,359432,575349,803374,931778
23,Slovenia,,75254,67236,47533,28116,14933
24,Slovakia,,82805,133283,183025,197889,167181
25,Finland,,4796,2043,835,348,148
26,Sweden,,245604,150239,78226,39822,20334
27,United Kingdom,,381267,243003,149880,94244,60661
28,Iceland,,3409,1986,977,535,317
29,Liechtenstein,,651,497,324,197,117
30,Norway,,131047,139282,137063,122710,101760
31,Switzerland,,188921,144778,96139,58928,34805
