,Region,578,584,591,598,605,612
0,Belgium,,14256,14535,14620,14493,14164
1,Bulgaria,,10442,13885,18312,23738,30267
2,Czechia,,1314,1341,1388,1459,1558
3,Denmark,,6803,6593,6270,5847,5347
4,Germany,,58297,75920,97940,124266,155709
5,Estonia,,1970,1958,1878,1734,1543
6,Ireland,,12362,11807,10857,9595,8168
7,Greece,,21765,21080,20080,18808,17339
8,Spain,,61143,45921,33689,24225,17124
9,France,,156547,144048,126387,105733,84375
10,Croatia,,4359,6436,9934,15461,23862
11,Italy,,44503,45666,47399,49561,51919
12,Cyprus,,1938,1513,1162,883,665
13,Latvia,,1030,1185,1341,1488,1620
14,Lithuania,,4222,4332,4268,4010,3589
15,Luxembourg,,399,413,424,430,431
16,Hungary,,481,494,505,513,519
17,Malta,,381,325,272,223,181
18,Netherlands,,16654,15360,14004,12671,11343
19,Austria,,9335,11801,14926,18813,23636
20,Poland,,1451,1610,1800,2017,2268
21,Portugal,,14248,11633,8748,6065,3859
22,Romania,,4606,6299,8700,12082,16885
23,Slovenia,,2477,3165,3994,4957,6053
24,Slovakia,,579,649,728,815,912
25,Finland,,4530,4417,4328,4128,3831
26,Sweden,,7213,8093,8953,9682,10224
27,United Kingdom,,224331,224119,217977,206745,191108
28,Iceland,,537,473,414,361,314
29,Liechtenstein,,94,119,145,166,182
30,Norway,,4713,5953,8067,11507,16894
31,Switzerland,,21829,27469,33630,39808,45513
