,Region,508,514,521,528,535,542
0,Belgium,,5300,3595,2332,1451,863
1,Bulgaria,,704,517,376,271,194
2,Czechia,,1494,1048,693,431,251
3,Denmark,,3268,2095,1224,649,311
4,Germany,,12700,8710,5736,3628,2204
5,Estonia,,340,227,145,90,53
6,Ireland,,2329,2131,1934,1751,1578
7,Greece,,4922,3544,2480,1695,1126
8,Spain,,31524,30158,28012,25133,21888
9,France,,28369,19844,13247,8417,5087
10,Croatia,,941,692,493,342,231
11,Italy,,11375,8059,5208,3064,1634
12,Cyprus,,336,289,243,197,157
13,Latvia,,1200,946,728,549,403
14,Lithuania,,1215,793,491,289,160
15,Luxembourg,,181,115,70,39,20
16,Hungary,,875,588,386,249,157
17,Malta,,15,9,6,3,1
18,Netherlands,,8810,6086,4026,2602,1622
19,Austria,,1657,1267,914,620,397
20,Poland,,1875,1235,782,478,283
21,Portugal,,4876,5187,5408,5455,5367
22,Romania,,827,629,476,357,267
23,Slovenia,,1066,776,542,361,231
24,Slovakia,,615,523,432,345,269
25,Finland,,579,444,320,218,139
26,Sweden,,4987,5174,4954,4379,3569
27,United Kingdom,,52857,62518,70768,76545,79028
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,5,4,1,1,1
30,Norway,,1066,733,487,313,195
31,Switzerland,,1847,1080,595,306,148
