,Region,788,794,801,808,815,822
0,Belgium,,71014,79639,95893,117947,137502
1,Bulgaria,,7412,7281,7228,7251,7335
2,Czechia,,56943,61172,67413,75249,84392
3,Denmark,,7457,10148,13380,20343,36107
4,Germany,,1037570,699892,469187,332746,252969
5,Estonia,,8162,5930,4287,3192,2461
6,Ireland,,20412,17931,15961,14796,14386
7,Greece,,137079,121147,102931,85884,71117
8,Spain,,101498,109976,130450,166789,225452
9,France,,727333,852566,964695,1004860,944463
10,Croatia,,9557,8506,8231,8559,9530
11,Italy,,498598,532666,589617,637187,646757
12,Cyprus,,22982,20779,17202,13451,10258
13,Latvia,,20579,14647,10223,7276,5320
14,Lithuania,,28397,26643,24712,22824,21079
15,Luxembourg,,214,231,458,1498,3031
16,Hungary,,6547,4632,3268,2384,1801
17,Malta,,2519,3702,5184,6239,6167
18,Netherlands,,251317,177512,129043,104025,95090
19,Austria,,193740,131860,100053,84631,76186
20,Poland,,74644,77359,82508,89844,99364
21,Portugal,,53228,36575,27953,31105,39157
22,Romania,,20498,19128,18706,19428,21538
23,Slovenia,,26635,37905,52651,64862,67823
24,Slovakia,,70311,67010,63520,59922,56237
25,Finland,,45718,39464,33472,28489,24557
26,Sweden,,4286,2077,923,418,198
27,United Kingdom,,665884,730950,770175,765873,714536
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,1110,879,600,368,195
30,Norway,,17394,12821,10232,9452,10096
31,Switzerland,,181364,152569,118397,88720,66412
