,Region,627,633,640,647,654,661
0,Belgium,,13916,13896,13796,13622,13369
1,Bulgaria,,15598,17005,18472,19969,21456
2,Czechia,,6957,8876,11508,15099,19976
3,Denmark,,4262,4844,5486,6191,6947
4,Germany,,55962,54376,52127,49320,45984
5,Estonia,,7162,8648,10448,12523,14804
6,Ireland,,8870,8639,8321,7939,7494
7,Greece,,15025,14567,13942,13184,12316
8,Spain,,11341,10498,10091,10099,10469
9,France,,32843,29735,26311,22829,19370
10,Croatia,,10965,12466,15267,20361,28485
11,Italy,,16462,13765,11206,8900,6885
12,Cyprus,,668,613,552,488,424
13,Latvia,,11195,13277,15066,16254,16648
14,Lithuania,,15710,17116,18096,18510,18339
15,Luxembourg,,747,800,834,848,840
16,Hungary,,3767,3021,1823,687,61
17,Malta,,134,133,130,126,121
18,Netherlands,,16844,18680,20646,22799,25092
19,Austria,,15145,18995,25239,34468,47217
20,Poland,,14532,19446,25981,34564,45663
21,Portugal,,3903,3729,3627,3601,3642
22,Romania,,102064,115386,125497,130514,130000
23,Slovenia,,5388,5085,4764,4426,4070
24,Slovakia,,15476,24677,42591,76921,140095
25,Finland,,3673,3741,3764,3745,3679
26,Sweden,,3823,3432,3009,2582,2164
27,United Kingdom,,252522,250996,245358,235943,223224
28,Iceland,,399,543,763,1075,1506
29,Liechtenstein,,214,414,747,1209,1629
30,Norway,,2508,1998,1565,1210,921
31,Switzerland,,5669,4559,3610,2823,2176
