,Region,417,423,430,437,444,451
0,Belgium,,16284,15601,14957,14300,13650
1,Bulgaria,,17753,19625,21539,23434,25252
2,Czechia,,73690,61528,50355,40598,32345
3,Denmark,,4236,4509,4812,5100,5424
4,Germany,,58633,59605,60348,61075,61758
5,Estonia,,7302,6818,6464,6053,5655
6,Ireland,,3552,3278,3011,2759,2525
7,Greece,,17867,18548,19151,19676,20112
8,Spain,,29897,26940,24273,21842,19631
9,France,,141737,132933,124761,116663,108850
10,Croatia,,4972,5886,6919,8111,9480
11,Italy,,155831,147366,138023,128400,118737
12,Cyprus,,2752,2989,3222,3446,3655
13,Latvia,,3429,3013,2636,2298,1999
14,Lithuania,,3043,2901,2752,2611,2473
15,Luxembourg,,1073,990,918,847,781
16,Hungary,,48111,53716,58974,63587,67229
17,Malta,,2188,2190,2161,2101,2014
18,Netherlands,,36005,37701,39521,41279,42998
19,Austria,,19194,20638,22035,23353,24554
20,Poland,,112277,122859,133157,142839,151521
21,Portugal,,4330,3752,3245,2802,2419
22,Romania,,33007,37089,41490,46235,51344
23,Slovenia,,4771,4255,3776,3337,2938
24,Slovakia,,15850,15061,14214,13332,12432
25,Finland,,4390,4541,4699,4853,5008
26,Sweden,,24144,22305,20475,18692,16972
27,United Kingdom,,38809,35652,32666,29884,27303
28,Iceland,,7,6,5,5,3
29,Liechtenstein,,14,13,13,11,10
30,Norway,,4962,5402,5867,6354,6857
31,Switzerland,,6946,6254,5624,5048,4524
