,Region,599,605,612,619,626,633
0,Belgium,,13109,12550,11897,11167,10383
1,Bulgaria,,9125,8910,8751,8606,8488
2,Czechia,,3268,4408,6013,8303,11532
3,Denmark,,3001,2361,1841,1424,1093
4,Germany,,61129,54837,48415,41897,35695
5,Estonia,,3954,4204,4473,4720,4918
6,Ireland,,9340,9050,8576,7975,7257
7,Greece,,13746,11848,10053,8353,6798
8,Spain,,22745,16404,11765,8382,5945
9,France,,57307,43358,32075,23245,16520
10,Croatia,,7201,9419,12661,17199,23355
11,Italy,,31565,26763,22050,17646,13723
12,Cyprus,,988,755,570,425,314
13,Latvia,,3101,3628,4155,4636,5047
14,Lithuania,,7392,10073,13668,18015,23043
15,Luxembourg,,532,531,532,532,533
16,Hungary,,2006,2423,2942,3574,4358
17,Malta,,251,209,172,138,110
18,Netherlands,,17188,16536,15812,15023,14186
19,Austria,,14459,16034,17490,18735,19699
20,Poland,,3667,4571,5695,7081,8786
21,Portugal,,7042,5282,3869,2768,1936
22,Romania,,17579,23892,32808,45084,62133
23,Slovenia,,7056,9188,12072,15856,20710
24,Slovakia,,3424,5032,7357,10651,15241
25,Finland,,3299,3098,2875,2630,2368
26,Sweden,,7466,7300,6960,6472,5870
27,United Kingdom,,261034,263409,262579,258711,251880
28,Iceland,,171,132,114,108,108
29,Liechtenstein,,66,71,75,79,82
30,Norway,,9109,8592,7901,7052,6151
31,Switzerland,,25227,28860,32481,36066,39421
