,Region,725,731,738,745,752,759
0,Belgium,,208105,177773,117517,59187,22896
1,Bulgaria,,52739,63943,73712,79630,80783
2,Czechia,,91546,108701,109836,94245,72693
3,Denmark,,110076,81357,54161,35970,23711
4,Germany,,629656,747596,795210,735689,596747
5,Estonia,,19579,25236,30611,33736,33319
6,Ireland,,90549,55472,31710,17918,10280
7,Greece,,91635,53760,29302,15877,8705
8,Spain,,815481,615274,370663,175716,67350
9,France,,1923360,1336570,735124,340773,143826
10,Croatia,,56886,81583,71346,57839,50089
11,Italy,,1267740,975379,582187,284714,121960
12,Cyprus,,14087,8855,5163,3018,1806
13,Latvia,,20084,23384,24812,23830,21140
14,Lithuania,,30295,32367,31070,26974,21727
15,Luxembourg,,13328,14327,14069,12474,10136
16,Hungary,,69350,95523,121951,135742,130276
17,Malta,,1472,485,105,18,3
18,Netherlands,,236274,183804,121795,72560,40006
19,Austria,,185076,289900,403386,430945,347456
20,Poland,,141887,216525,337945,490869,637176
21,Portugal,,229449,172259,96412,39920,12430
22,Romania,,118253,221375,408664,681069,953984
23,Slovenia,,63234,73982,68529,49903,30151
24,Slovakia,,21871,23733,24714,24223,22452
25,Finland,,85105,96595,105102,107090,102597
26,Sweden,,159001,103705,54589,27693,14127
27,United Kingdom,,472726,282270,162392,95585,57943
28,Iceland,,4296,2282,1194,687,441
29,Liechtenstein,,662,612,445,273,158
30,Norway,,82564,84727,80653,71608,59994
31,Switzerland,,182727,143403,89350,47030,22703
