,Region,613,619,626,633,640,647
0,Belgium,,13753,13468,13102,12660,12152
1,Bulgaria,,10665,10802,10898,10957,10973
2,Czechia,,3267,3528,3846,4215,4651
3,Denmark,,2120,1840,1590,1373,1181
4,Germany,,49373,42989,36722,30791,25341
5,Estonia,,4488,5612,7253,9526,12589
6,Ireland,,8905,8678,8358,7961,7499
7,Greece,,14850,14118,13190,12119,10932
8,Spain,,13496,10340,7842,5910,4418
9,France,,34490,26559,19961,14675,10535
10,Croatia,,8242,8464,8630,8726,8763
11,Italy,,21138,17393,14060,11187,8760
12,Cyprus,,1857,2477,3231,4153,5199
13,Latvia,,4520,4995,5403,5707,5887
14,Lithuania,,10425,11798,13111,14283,15241
15,Luxembourg,,856,1361,2650,5546,13128
16,Hungary,,3383,3993,4748,5664,6798
17,Malta,,90,57,35,21,12
18,Netherlands,,10887,9387,8053,6875,5841
19,Austria,,11053,9923,8771,7621,6525
20,Poland,,5995,7011,8199,9560,11136
21,Portugal,,3911,2966,2221,1646,1207
22,Romania,,55699,74709,98759,127235,159343
23,Slovenia,,6106,5644,5027,4272,3467
24,Slovakia,,8675,14477,25026,42776,70710
25,Finland,,1980,1559,1212,930,705
26,Sweden,,3557,2653,1936,1379,962
27,United Kingdom,,230723,229330,224634,217204,207094
28,Iceland,,251,315,419,570,767
29,Liechtenstein,,27,22,17,13,9
30,Norway,,3796,2924,2278,1816,1488
31,Switzerland,,7919,5685,3998,2764,1897
