,Region,648,654,661,668,675,682
0,Belgium,,58219,82441,116991,157502,187405
1,Bulgaria,,26134,24398,22778,21243,19727
2,Czechia,,73179,188807,472587,866572,865873
3,Denmark,,9736,10541,11466,12505,13633
4,Germany,,135975,183784,259758,375317,545106
5,Estonia,,17294,25334,35827,45447,48117
6,Ireland,,11967,10734,9785,9044,8439
7,Greece,,21325,21714,22945,25022,27935
8,Spain,,15894,19659,25797,35590,51086
9,France,,50483,65181,87596,120818,168373
10,Croatia,,20141,21711,23537,25184,26057
11,Italy,,32872,56221,104061,197111,369705
12,Cyprus,,927,923,949,999,1070
13,Latvia,,14107,12595,11159,9740,8315
14,Lithuania,,28034,37086,49100,62286,72099
15,Luxembourg,,2608,5569,12360,25798,41708
16,Hungary,,15218,16775,18742,21117,23826
17,Malta,,57,41,29,21,16
18,Netherlands,,96975,187545,360288,636986,919774
19,Austria,,22467,22007,21856,21903,22006
20,Poland,,49744,78597,135207,239749,416864
21,Portugal,,6129,7285,9011,11476,14878
22,Romania,,70169,56613,46164,38115,31841
23,Slovenia,,30702,57980,98192,125863,108655
24,Slovakia,,22501,25305,29307,34159,39068
25,Finland,,3928,4209,4632,5183,5856
26,Sweden,,6296,11142,21709,43598,84812
27,United Kingdom,,484522,599787,746174,926076,1123480
28,Iceland,,504,516,524,531,535
29,Liechtenstein,,33,32,33,33,35
30,Norway,,6301,8359,11717,16932,24667
31,Switzerland,,10731,14220,21569,37445,70656
