,Region,529,535,542,549,556,563
0,Belgium,,2997,2089,1299,721,355
1,Bulgaria,,446,379,320,269,225
2,Czechia,,847,718,588,466,357
3,Denmark,,1784,1857,2026,2318,2777
4,Germany,,2839,1703,967,520,267
5,Estonia,,161,125,95,70,52
6,Ireland,,2241,1546,833,339,100
7,Greece,,3571,3275,2871,2407,1933
8,Spain,,42426,43366,41076,36017,29186
9,France,,11966,9259,6904,4978,3475
10,Croatia,,494,424,358,298,244
11,Italy,,3886,2577,1593,923,500
12,Cyprus,,2832,3990,5435,7104,8859
13,Latvia,,319,226,158,109,75
14,Lithuania,,163,90,49,27,13
15,Luxembourg,,332,360,338,274,189
16,Hungary,,261,182,127,88,61
17,Malta,,34,42,51,61,70
18,Netherlands,,3480,2123,1129,522,207
19,Austria,,429,278,170,99,56
20,Poland,,526,329,201,119,69
21,Portugal,,7644,6360,4786,3245,1976
22,Romania,,293,226,172,131,100
23,Slovenia,,152,89,51,30,17
24,Slovakia,,164,120,87,61,42
25,Finland,,1305,1449,1492,1420,1247
26,Sweden,,1848,1166,652,323,141
27,United Kingdom,,102022,101983,96371,86009,72463
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,9,12,14,17,19
30,Norway,,1150,884,598,356,183
31,Switzerland,,549,337,197,109,58
