,Region,466,472,479,486,493,500
0,Belgium,,22039,20854,19637,18439,17261
1,Bulgaria,,6977,5400,4170,3216,2477
2,Czechia,,13978,12132,10405,8952,7686
3,Denmark,,4936,4862,4780,4692,4593
4,Germany,,125720,112751,100849,89938,79980
5,Estonia,,2358,2122,1905,1704,1521
6,Ireland,,3373,3523,3673,3822,3968
7,Greece,,14220,12388,10760,9325,8063
8,Spain,,45587,36867,29795,24048,19384
9,France,,158008,137175,116188,98750,84193
10,Croatia,,13260,12047,10858,9715,8635
11,Italy,,84970,80741,76165,71863,67640
12,Cyprus,,5033,4573,4110,3659,3229
13,Latvia,,4796,5247,5730,6185,6701
14,Lithuania,,8649,9150,9643,10053,10510
15,Luxembourg,,1101,997,937,859,793
16,Hungary,,13320,10714,8579,6853,5463
17,Malta,,131,100,76,57,43
18,Netherlands,,48368,42890,37722,32961,28641
19,Austria,,13228,12145,11108,10124,9197
20,Poland,,38932,27364,18653,12931,8900
21,Portugal,,3054,2865,2686,2517,2356
22,Romania,,10809,8319,6394,4912,3771
23,Slovenia,,4517,4259,3904,3601,3308
24,Slovakia,,3419,3149,2895,2659,2440
25,Finland,,1405,1251,1100,972,857
26,Sweden,,29780,25421,21443,18033,15156
27,United Kingdom,,15085,14096,13167,12295,11480
28,Iceland,,73,68,64,61,58
29,Liechtenstein,,61,56,51,47,42
30,Norway,,2479,2076,1811,1497,1281
31,Switzerland,,10962,9234,7768,6521,5462
